---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  5.600e-02  [0 1.000e+00 1.000e+00 9.972e-06]  [561 -8 54]
 ST 1-2  9.700e-02  [-29 3.345e-02 3.345e-02 9.878e-06]  [315 -1 39]
 ST 1-3s 1.530e-01  [-120 9.138e-07 9.138e-07 9.902e-06]  [601 -6 54]
 ST 2-1  3.460e-01  [0 1.000e+00 1.023e+00 9.824e-06]  [474 -2 12]
 ST 2-2  3.920e-01  [-36 1.575e-02 1.611e-02 9.889e-06]  [364 -1 39]
 ST 2-3s 4.510e-01  [-118 1.137e-06 1.164e-06 9.922e-06]  [555 -8 47]
 ST 3-1  6.320e-01  [0 1.000e+00 7.069e-01 9.971e-06]  [527 -2 15]
 ST 3-2  6.800e-01  [-49 3.466e-03 2.450e-03 9.889e-06]  [399 -7 46]
 ST 3-3s 7.390e-01  [-122 7.894e-07 5.580e-07 9.973e-06]  [566 -1 51]
 ST 4-1  8.850e-01  [0 1.000e+00 8.476e-01 9.859e-06]  [505 -7 19]
 ST 4-2  9.360e-01  [-58 1.236e-03 1.048e-03 9.898e-06]  [442 -5 53]
 ST 4-3s 9.870e-01  [-128 3.715e-07 3.149e-07 9.935e-06]  [539 -4 51]
 ST 5-1  1.161e+00  [0 1.000e+00 4.467e-01 9.901e-06]  [497 -6 15]
 ST 5-2  1.214e+00  [-66 4.535e-04 2.026e-04 9.892e-06]  [529 -3 51]
 ST 5-3s 1.272e+00  [-131 2.689e-07 1.201e-07 9.826e-06]  [548 -6 53]
 ST 6-1  1.440e+00  [0 1.000e+00 5.514e-01 9.923e-06]  [457 -8 15]
 ST 6-2  1.493e+00  [-71 2.548e-04 1.405e-04 9.963e-06]  [533 -3 51]
 ST 6-3s 1.553e+00  [-131 2.545e-07 1.403e-07 9.980e-06]  [539 -4 53]
 ST 7-1  1.767e+00  [0 1.000e+00 3.850e-01 9.864e-06]  [467 -1 14]
 ST 7-2  1.819e+00  [-61 8.354e-04 3.217e-04 9.879e-06]  [503 -7 54]
 ST 7-3s 1.871e+00  [-123 6.980e-07 2.688e-07 9.984e-06]  [517 -1 52]
 ST 8-1  2.048e+00  [0 1.000e+00 4.505e-01 9.963e-06]  [468 -2 14]
 ST 8-2  2.101e+00  [-59 1.032e-03 4.651e-04 9.854e-06]  [498 -6 51]
 ST 8-3s 2.157e+00  [-123 6.943e-07 3.128e-07 9.951e-06]  [504 -8 52]
 ST 9-1  2.365e+00  [0 1.000e+00 3.273e-01 9.935e-06]  [502 -7 13]
 ST 9-2  2.416e+00  [-57 1.262e-03 4.129e-04 9.957e-06]  [497 -6 49]
 ST 9-3s 2.471e+00  [-122 7.866e-07 2.574e-07 9.894e-06]  [504 -8 53]
 ST 10-1  2.618e+00  [0 1.000e+00 3.285e-01 9.972e-06]  [516 -1 18]
 ST 10-2  2.673e+00  [-59 1.104e-03 3.628e-04 9.948e-06]  [499 -7 45]
 ST 10-3s 2.727e+00  [-124 6.116e-07 2.009e-07 9.962e-06]  [517 -1 50]
 ST 11-1  2.913e+00  [0 1.000e+00 2.665e-01 9.881e-06]  [528 -3 13]
 ST 11-2  2.967e+00  [-58 1.168e-03 3.113e-04 9.870e-06]  [500 -7 52]
 ST 11-3s 3.022e+00  [-124 5.688e-07 1.516e-07 9.998e-06]  [529 -2 55]
 ST 12-1  3.200e+00  [0 1.000e+00 2.525e-01 9.962e-06]  [524 -2 16]
 ST 12-2  3.251e+00  [-59 1.000e-03 2.526e-04 9.865e-06]  [502 -7 53]
 ST 12-3s 3.308e+00  [-127 4.425e-07 1.117e-07 9.968e-06]  [539 -4 51]
 ST 13-1  3.476e+00  [0 1.000e+00 2.146e-01 9.880e-06]  [520 -1 17]
 ST 13-2  3.532e+00  [-60 8.916e-04 1.913e-04 9.941e-06]  [505 -8 54]
 ST 13-3s 3.588e+00  [-128 3.677e-07 7.890e-08 9.957e-06]  [546 -6 55]
 ST 14-1  3.737e+00  [0 1.000e+00 1.982e-01 9.938e-06]  [496 -6 18]
 ST 14-2  3.789e+00  [-62 7.492e-04 1.485e-04 9.959e-06]  [513 0 50]
 ST 14-3s 3.845e+00  [-130 2.906e-07 5.760e-08 1.245e-05]  [540 -5 52]
 ST 15-1  3.982e+00  [0 1.000e+00 1.753e-01 9.845e-06]  [485 -5 18]
 ST 15-2  4.037e+00  [-63 6.537e-04 1.146e-04 9.940e-06]  [521 -1 49]
 ST 15-3s 4.094e+00  [-132 2.411e-07 4.226e-08 1.697e-05]  [527 -3 53]
 ST 16-1  4.258e+00  [0 1.000e+00 1.635e-01 9.902e-06]  [477 -3 16]
 ST 16-2  4.313e+00  [-64 5.799e-04 9.482e-05 9.885e-06]  [521 -1 53]
 ST 16-3s 4.366e+00  [-133 2.032e-07 3.322e-08 2.168e-05]  [514 0 53]
 ST 17-1  4.564e+00  [0 1.000e+00 1.476e-01 9.883e-06]  [476 -3 13]
 ST 17-2  4.619e+00  [-65 5.142e-04 7.592e-05 9.998e-06]  [515 0 51]
 ST 17-3s 4.679e+00  [-135 1.742e-07 2.572e-08 2.813e-05]  [497 -6 50]
 ST 18-1  4.843e+00  [0 1.000e+00 1.381e-01 9.870e-06]  [482 -4 14]
 ST 18-2  4.905e+00  [-67 4.369e-04 6.032e-05 9.844e-06]  [521 -1 48]
 ST 18-3s 4.957e+00  [-136 1.458e-07 2.013e-08 3.569e-05]  [483 -4 46]
 ST 19-1  5.121e+00  [0 1.000e+00 1.251e-01 9.835e-06]  [484 -5 15]
 ST 19-2  5.174e+00  [-68 3.860e-04 4.829e-05 9.866e-06]  [527 -2 51]
