---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  6.500e-02  [0 1.000e+00 1.000e+00 9.817e-06]  [293 -12 20]
 ST 1-2  1.260e-01  [-100 9.824e-06 9.824e-06 3.964e-04]  [225 -6 18]
 ST 1-3s 1.850e-01  [-139 1.103e-07 1.103e-07 3.472e-02]  [18 -34 0]
 ST 2-1  4.160e-01  [0 1.000e+00 4.930e+00 9.993e-06]  [283 -9 6]
 ST 2-2  4.810e-01  [-99 1.020e-05 5.031e-05 7.521e-05]  [240 -12 17]
 ST 2-3s 5.540e-01  [-153 2.216e-08 1.092e-07 3.421e-02]  [17 -34 1]
 ST 3-1  7.960e-01  [0 1.000e+00 1.241e+01 9.975e-06]  [272 -5 6]
 ST 3-2  8.630e-01  [-99 1.049e-05 1.301e-04 3.011e-05]  [294 -15 21]
 ST 3-3s 9.240e-01  [-160 9.346e-09 1.160e-07 3.392e-02]  [20 -34 2]
 ST 4-1  1.163e+00  [0 1.000e+00 2.218e+01 9.911e-06]  [259 -1 5]
 ST 4-2  1.232e+00  [-99 1.055e-05 2.339e-04 1.648e-05]  [347 -13 25]
 ST 4-3s 1.287e+00  [-166 4.805e-09 1.066e-07 3.731e-02]  [18 -33 2]
 ST 5-1  1.518e+00  [0 1.000e+00 3.217e+01 9.658e-06]  [249 -14 6]
 ST 5-2  1.590e+00  [-99 1.009e-05 3.246e-04 1.204e-05]  [341 -10 26]
 ST 5-3s 1.650e+00  [-168 3.714e-09 1.195e-07 3.288e-02]  [18 -34 2]
 ST 6-1  1.866e+00  [0 1.000e+00 4.019e+01 9.812e-06]  [240 -11 6]
 ST 6-2  1.933e+00  [-99 1.011e-05 4.062e-04 9.757e-06]  [332 -7 22]
 ST 6-3s 2.009e+00  [-171 2.656e-09 1.068e-07 3.626e-02]  [19 -33 1]
 ST 7-1  2.280e+00  [0 1.000e+00 4.448e+01 9.792e-06]  [233 -9 4]
