---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  8.870e-01  [0 1.000e+00 1.000e+00 9.995e-06]  [2935 0 71]
 ST 1-2  3.035e+00  [-44 6.037e-03 6.037e-03 9.998e-06]  [8662 0 88]
 ST 1-3s 4.653e+00  [-133 2.060e-07 2.060e-07 4.037e-03]  [6317 0 84]
 ST 2-1  6.472e+00  [0 1.000e+00 9.462e-01 9.995e-06]  [2887 0 34]
 ST 2-2  9.715e+00  [-70 2.853e-04 2.699e-04 9.995e-06]  [13875 0 92]
 ST 2-3s 1.242e+01  [-130 2.864e-07 2.710e-07 3.069e-03]  [4700 0 90]
 ST 3-1  1.422e+01  [0 1.000e+00 7.211e-01 9.995e-06]  [3245 0 38]
 ST 3-2  1.696e+01  [-57 1.278e-03 9.216e-04 9.997e-06]  [11498 0 90]
 ST 3-3s 1.799e+01  [-128 3.722e-07 2.684e-07 3.100e-03]  [3417 0 74]
 ST 4-1  1.956e+01  [0 1.000e+00 5.681e-01 9.997e-06]  [2212 -1 31]
 ST 4-2  2.284e+01  [-76 1.456e-04 8.270e-05 1.006e-05]  [13678 0 92]
 ST 4-3s 2.366e+01  [-137 1.341e-07 7.618e-08 1.092e-02]  [2486 0 67]
 ST 5-1  2.553e+01  [0 1.000e+00 3.595e-01 9.997e-06]  [3841 0 44]
 ST 5-2  2.898e+01  [-74 1.985e-04 7.135e-05 1.166e-05]  [14847 0 92]
 ST 5-3s 3.008e+01  [-127 4.061e-07 1.460e-07 5.697e-03]  [3998 0 76]
 ST 6-1  3.187e+01  [0 1.000e+00 2.427e-01 9.999e-06]  [3111 0 37]
 ST 6-2  3.525e+01  [-79 1.095e-04 2.657e-05 3.131e-05]  [14422 0 92]
 ST 6-3s 3.622e+01  [-128 3.905e-07 9.478e-08 8.774e-03]  [3181 0 73]
 ST 7-1  3.822e+01  [0 1.000e+00 2.158e-01 9.998e-06]  [4022 0 43]
 ST 7-2  4.162e+01  [-85 5.309e-05 1.146e-05 7.260e-05]  [14405 0 92]
 ST 7-3s 4.254e+01  [-128 3.828e-07 8.260e-08 1.007e-02]  [2927 0 69]
 ST 8-1  4.625e+01  [0 1.000e+00 1.027e-01 9.998e-06]  [5312 0 69]
 ST 8-2  4.934e+01  [-69 3.166e-04 3.250e-05 2.560e-05]  [13086 0 91]
 ST 8-3s 4.982e+01  [-128 3.582e-07 3.677e-08 2.261e-02]  [896 0 42]
 ST 9-1  5.141e+01  [0 1.000e+00 1.501e-01 9.996e-06]  [2482 -1 33]
 ST 9-2  5.449e+01  [-74 1.783e-04 2.676e-05 3.107e-05]  [12985 0 91]
 ST 9-3s 5.491e+01  [-132 2.276e-07 3.416e-08 2.436e-02]  [733 0 36]
 ST 10-1  5.707e+01  [0 1.000e+00 7.166e-02 9.998e-06]  [4771 0 48]
 ST 10-2  6.003e+01  [-65 5.095e-04 3.651e-05 2.278e-05]  [12685 0 91]
 ST 10-3s 6.032e+01  [-129 3.261e-07 2.337e-08 3.548e-02]  [129 -1 9]
 ST 11-1  6.245e+01  [0 1.000e+00 1.077e-01 9.999e-06]  [4738 0 47]
 ST 11-2  6.524e+01  [-70 3.023e-04 3.256e-05 2.554e-05]  [11694 0 90]
 ST 11-3s 6.562e+01  [-130 2.961e-07 3.190e-08 2.606e-02]  [543 0 31]
 ST 12-1  6.735e+01  [0 1.000e+00 6.697e-02 9.995e-06]  [2935 0 37]
 ST 12-2  7.026e+01  [-66 4.748e-04 3.180e-05 2.616e-05]  [12227 0 91]
 ST 12-3s 7.054e+01  [-131 2.578e-07 1.726e-08 4.774e-02]  [70 -2 6]
 ST 13-1  7.302e+01  [0 1.000e+00 7.963e-02 9.996e-06]  [6521 0 57]
 ST 13-2  7.580e+01  [-68 3.711e-04 2.955e-05 2.815e-05]  [11586 0 90]
 ST 13-3s 7.608e+01  [-132 2.374e-07 1.891e-08 4.363e-02]  [80 -3 6]
 ST 14-1  7.990e+01  [0 1.000e+00 6.062e-02 1.000e-05]  [5556 0 70]
 ST 14-2  8.303e+01  [-68 3.911e-04 2.371e-05 3.509e-05]  [11452 0 91]
 ST 14-3s 8.334e+01  [-133 2.146e-07 1.301e-08 6.292e-02]  [43 -28 3]
 ST 15-1  8.628e+01  [0 1.000e+00 6.083e-02 9.995e-06]  [7333 0 58]
 ST 15-2  8.982e+01  [-68 3.867e-04 2.352e-05 3.536e-05]  [11465 0 92]
 ST 15-3s 9.013e+01  [-134 1.909e-07 1.161e-08 7.111e-02]  [38 -26 3]
 ST 16-1  9.270e+01  [0 1.000e+00 5.294e-02 1.000e-05]  [5856 0 54]
 ST 16-2  9.540e+01  [-70 3.127e-04 1.656e-05 5.022e-05]  [10768 0 90]
 ST 16-3s 9.567e+01  [-135 1.745e-07 9.239e-09 8.902e-02]  [33 -24 2]
 ST 17-1  9.844e+01  [0 1.000e+00 4.734e-02 9.998e-06]  [7412 0 59]
 ST 17-2  1.012e+02  [-68 3.597e-04 1.703e-05 4.884e-05]  [11220 0 90]
 ST 17-3s 1.015e+02  [-136 1.563e-07 7.398e-09 1.083e-01]  [31 -22 2]
 ST 18-1  1.033e+02  [0 1.000e+00 4.433e-02 1.000e-05]  [2997 0 39]
 ST 18-2  1.060e+02  [-71 2.567e-04 1.138e-05 7.308e-05]  [10440 0 90]
 ST 18-3s 1.063e+02  [-137 1.391e-07 6.168e-09 1.298e-01]  [29 -20 1]
 ST 19-1  1.089e+02  [0 1.000e+00 3.572e-02 9.997e-06]  [6168 0 55]
 ST 19-2  1.133e+02  [-70 3.000e-04 1.072e-05 7.759e-05]  [10869 0 94]
 ST 19-3s 1.136e+02  [-137 1.297e-07 4.631e-09 1.730e-01]  [27 -18 2]
 ST 20-1  1.172e+02  [0 1.000e+00 3.475e-02 9.998e-06]  [6920 0 58]
 ST 20-2  1.206e+02  [-72 2.288e-04 7.950e-06 1.046e-04]  [10649 0 90]
 ST 20-3s 1.209e+02  [-138 1.151e-07 4.000e-09 2.011e-01]  [26 -16 1]
 ST 21-1  1.242e+02  [0 1.000e+00 2.733e-02 9.995e-06]  [6537 0 58]
 ST 21-2  1.273e+02  [-72 2.263e-04 6.183e-06 1.345e-04]  [10283 0 88]
 ST 21-3s 1.277e+02  [-139 1.021e-07 2.791e-09 2.885e-01]  [24 -12 2]
 ST 22-1  1.314e+02  [0 1.000e+00 2.657e-02 9.997e-06]  [8721 0 63]
 ST 22-2  1.347e+02  [-73 2.196e-04 5.835e-06 1.425e-04]  [10882 0 90]
 ST 22-3s 1.350e+02  [-140 8.999e-08 2.391e-09 3.393e-01]  [23 -11 1]
 ST 23-1  1.388e+02  [0 1.000e+00 2.408e-02 9.995e-06]  [8640 0 64]
 ST 23-2  1.421e+02  [-77 1.385e-04 3.336e-06 2.493e-04]  [10572 0 90]
 ST 23-3s 1.424e+02  [-141 8.246e-08 1.986e-09 4.181e-01]  [21 -9 1]
 ST 24-1  1.492e+02  [0 1.000e+00 2.210e-02 1.000e-05]  [9598 0 75]
 ST 24-2  1.532e+02  [-74 1.903e-04 4.207e-06 1.977e-04]  [10802 0 90]
 ST 24-3s 1.535e+02  [-142 7.431e-08 1.642e-09 5.039e-01]  [20 -7 1]
 ST 25-1  1.575e+02  [0 1.000e+00 2.496e-02 9.997e-06]  [9196 0 65]
 ST 25-2  1.609e+02  [-82 7.884e-05 1.968e-06 4.227e-04]  [11008 0 90]
 ST 25-3s 1.612e+02  [-143 6.790e-08 1.695e-09 4.897e-01]  [20 -7 1]
 ST 26-1  1.653e+02  [0 1.000e+00 1.942e-02 9.999e-06]  [9716 0 67]
 ST 26-2  1.683e+02  [-77 1.370e-04 2.660e-06 3.125e-04]  [9790 0 90]
 ST 26-3s 1.687e+02  [-143 6.627e-08 1.287e-09 6.414e-01]  [18 -4 1]
 ST 27-1  1.726e+02  [0 1.000e+00 2.463e-02 9.996e-06]  [8983 0 64]
 ST 27-2  1.758e+02  [-84 5.832e-05 1.436e-06 5.791e-04]  [9565 0 90]
 ST 27-3s 1.762e+02  [-144 5.757e-08 1.418e-09 5.830e-01]  [19 -5 1]
 ST 28-1  1.819e+02  [0 1.000e+00 1.403e-02 9.998e-06]  [9820 0 74]
 ST 28-2  1.847e+02  [-81 8.690e-05 1.219e-06 6.824e-04]  [8980 0 88]
 ST 28-3s 1.850e+02  [-142 7.125e-08 9.996e-10 8.283e-01]  [15 -2 1]
 ST 29-1  1.885e+02  [0 1.000e+00 2.131e-02 9.999e-06]  [7519 0 60]
 ST 29-2  1.910e+02  [-83 6.856e-05 1.461e-06 5.690e-04]  [8044 0 87]
 ST 29-3s 1.914e+02  [-145 5.345e-08 1.139e-09 7.251e-01]  [17 -3 1]
 ST 30-1  1.962e+02  [0 1.000e+00 2.752e-01 9.995e-06]  [12340 0 69]
 ST 30-2  1.984e+02  [-43 6.716e-03 1.848e-03 9.999e-06]  [6763 0 85]
 ST 30-3s 2.002e+02  [-142 7.232e-08 1.991e-08 4.178e-02]  [5286 0 81]
 ST 31-1  2.049e+02  [0 1.000e+00 1.105e+01 9.998e-06]  [12189 0 71]
 ST 31-2  2.075e+02  [-11 2.620e-01 2.894e+00 9.997e-06]  [7832 0 87]
 ST 31-3  2.119e+02  [-72 2.261e-04 2.498e-03 9.995e-06]  [14378 0 92]
 ST 31-4s 2.172e+02  [-112 2.296e-06 2.536e-05 3.279e-05]  [12775 0 94]
 ST 32-1  2.207e+02  [0 1.000e+00 2.128e+01 1.000e-05]  [6788 0 60]
 ST 32-2  2.239e+02  [-16 1.468e-01 3.124e+00 9.997e-06]  [8986 0 87]
 ST 32-3  2.272e+02  [-48 3.664e-03 7.797e-02 9.999e-06]  [9680 0 89]
 ST 32-4  2.309e+02  [-87 4.046e-05 8.609e-04 9.996e-06]  [11265 0 90]
 ST 32-5s 2.346e+02  [-115 1.732e-06 3.685e-05 2.258e-05]  [10887 0 91]
 ST 33-1  2.374e+02  [0 1.000e+00 1.065e+02 9.992e-06]  [4119 0 46]
 ST 33-2  2.410e+02  [-36 1.434e-02 1.527e+00 9.993e-06]  [8565 0 88]
 ST 33-3  2.435e+02  [-55 1.670e-03 1.779e-01 9.992e-06]  [6825 0 84]
 ST 33-4  2.484e+02  [-99 1.043e-05 1.111e-03 9.995e-06]  [9264 0 92]
 ST 33-5s 2.514e+02  [-119 1.042e-06 1.110e-04 9.989e-06]  [8692 0 87]
 ST 34-1  2.536e+02  [0 1.000e+00 1.460e+02 9.992e-06]  [2212 0 30]
 ST 34-2  2.551e+02  [-26 4.501e-02 6.573e+00 9.999e-06]  [4083 0 78]
 ST 34-3  2.567e+02  [-48 3.897e-03 5.690e-01 9.996e-06]  [3781 0 76]
 ST 34-4  2.587e+02  [-87 4.299e-05 6.278e-03 9.994e-06]  [5616 0 82]
 ST 34-5s 2.610e+02  [-133 2.005e-07 2.927e-05 2.841e-05]  [6591 0 85]
 ST 35-1  2.631e+02  [0 1.000e+00 1.134e+02 9.996e-06]  [2324 -1 32]
 ST 35-2  2.649e+02  [-23 6.399e-02 7.258e+00 9.990e-06]  [5006 0 81]
 ST 35-3  2.666e+02  [-52 2.448e-03 2.777e-01 9.997e-06]  [4078 -1 78]
 ST 35-4s 2.693e+02  [-103 6.450e-06 7.317e-04 9.998e-06]  [6878 0 85]
 ST 36-1  2.721e+02  [0 1.000e+00 8.623e+01 9.995e-06]  [2923 0 40]
 ST 36-2  2.744e+02  [-25 5.623e-02 4.848e+00 9.977e-06]  [4760 -1 80]
 ST 36-3  2.768e+02  [-55 1.719e-03 1.482e-01 9.998e-06]  [5527 0 82]
 ST 36-4s 2.793e+02  [-103 6.722e-06 5.796e-04 9.996e-06]  [6764 -1 84]
 ST 37-1  2.833e+02  [0 1.000e+00 1.536e+02 9.992e-06]  [2028 -1 15]
 ST 37-2  2.853e+02  [-35 1.602e-02 2.460e+00 9.971e-06]  [5239 -1 83]
 ST 37-3  2.868e+02  [-63 6.993e-04 1.074e-01 9.995e-06]  [3793 0 75]
 ST 37-4s 2.893e+02  [-118 1.238e-06 1.901e-04 9.998e-06]  [6969 0 84]
 ST 38-1  2.914e+02  [0 1.000e+00 5.359e+01 9.967e-06]  [1464 -1 21]
