---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  1.323e+00  [0 1.000e+00 1.000e+00 9.995e-06]  [3802 0 89]
 ST 1-2  2.089e+00  [-5 5.198e-01 5.198e-01 9.995e-06]  [1977 -1 80]
 ST 1-3  3.873e+00  [-94 1.967e-05 1.967e-05 9.991e-06]  [5295 -1 91]
 ST 1-4s 5.006e+00  [-143 6.881e-08 6.881e-08 1.925e-05]  [3162 -1 86]
 ST 2-1  6.515e+00  [0 1.000e+00 3.061e+00 9.989e-06]  [2814 0 57]
 ST 2-2  7.457e+00  [-16 1.486e-01 4.550e-01 9.990e-06]  [2559 0 84]
 ST 2-3  8.971e+00  [-86 4.929e-05 1.509e-04 9.988e-06]  [4418 -1 90]
 ST 2-4s 1.022e+01  [-123 6.335e-07 1.939e-06 9.991e-06]  [3550 -1 88]
 ST 3-1  1.151e+01  [0 1.000e+00 1.425e+01 9.986e-06]  [2059 -1 49]
 ST 3-2  1.260e+01  [-43 6.610e-03 9.422e-02 9.991e-06]  [3049 -1 86]
 ST 3-3  1.393e+01  [-88 3.915e-05 5.580e-04 9.981e-06]  [3807 -1 88]
 ST 3-4s 1.519e+01  [-123 7.001e-07 9.979e-06 9.993e-06]  [3588 0 88]
 ST 4-1  1.628e+01  [0 1.000e+00 1.724e+01 9.983e-06]  [1621 -1 46]
 ST 4-2  1.729e+01  [-47 4.257e-03 7.339e-02 9.980e-06]  [2756 0 85]
 ST 4-3  1.861e+01  [-94 1.811e-05 3.122e-04 9.993e-06]  [3801 -1 88]
 ST 4-4s 1.972e+01  [-131 2.817e-07 4.857e-06 9.996e-06]  [3100 -1 86]
 ST 5-1  2.109e+01  [0 1.000e+00 1.255e+01 9.992e-06]  [2466 0 56]
 ST 5-2  2.187e+01  [-26 4.942e-02 6.205e-01 9.971e-06]  [2030 -1 80]
 ST 5-3  2.330e+01  [-86 4.852e-05 6.092e-04 9.996e-06]  [4139 0 89]
 ST 5-4s 2.434e+01  [-132 2.384e-07 2.993e-06 9.985e-06]  [2897 -1 85]
 ST 6-1  2.580e+01  [0 1.000e+00 4.970e+00 9.994e-06]  [2669 -1 57]
 ST 6-2  2.652e+01  [-21 8.865e-02 4.406e-01 9.975e-06]  [1850 -1 79]
 ST 6-3  2.789e+01  [-86 4.980e-05 2.475e-04 9.983e-06]  [3948 0 89]
 ST 6-4s 2.925e+01  [-145 5.379e-08 2.674e-07 9.994e-06]  [3893 0 89]
