---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  6.600e-02  [0 1.000e+00 1.000e+00 9.994e-06]  [204 -17 17]
 ST 1-2  1.320e-01  [-78 1.219e-04 1.219e-04 9.933e-06]  [291 -11 23]
 ST 1-3s 1.940e-01  [-178 1.211e-09 1.211e-09 6.650e-04]  [214 -2 18]
 ST 2-1  5.430e-01  [0 1.000e+00 1.491e+00 9.825e-06]  [198 -15 3]
 ST 2-2  6.090e-01  [-88 3.635e-05 5.421e-05 9.731e-06]  [321 -5 24]
 ST 2-3s 6.680e-01  [-189 3.541e-10 5.281e-10 1.515e-03]  [150 -19 12]
 ST 3-1  9.790e-01  [0 1.000e+00 1.204e+00 9.777e-06]  [208 -1 4]
 ST 3-2  1.052e+00  [-86 4.614e-05 5.555e-05 9.760e-06]  [311 -1 26]
 ST 3-3s 1.118e+00  [-186 4.506e-10 5.426e-10 1.467e-03]  [191 -13 15]
 ST 4-1  1.364e+00  [0 1.000e+00 1.005e+00 9.841e-06]  [207 0 4]
 ST 4-2  1.429e+00  [-93 2.220e-05 2.231e-05 9.971e-06]  [334 -9 23]
 ST 4-3s 1.486e+00  [-193 2.227e-10 2.238e-10 3.602e-03]  [119 -4 11]
 ST 5-1  1.733e+00  [0 1.000e+00 6.115e-01 9.549e-06]  [195 -15 4]
 ST 5-2  1.800e+00  [-92 2.389e-05 1.461e-05 9.714e-06]  [331 -8 24]
 ST 5-3s 1.856e+00  [-192 2.358e-10 1.442e-10 5.655e-03]  [119 -3 11]
 ST 6-1  2.099e+00  [0 1.000e+00 4.295e-01 9.647e-06]  [216 -4 5]
 ST 6-2  2.166e+00  [-95 1.629e-05 6.998e-06 9.702e-06]  [339 -10 25]
 ST 6-3s 2.224e+00  [-195 1.680e-10 7.216e-11 1.122e-02]  [132 -8 10]
 ST 7-1  2.471e+00  [0 1.000e+00 2.166e-01 9.835e-06]  [239 -11 6]
 ST 7-2  2.537e+00  [-96 1.496e-05 3.242e-06 9.784e-06]  [328 -5 26]
 ST 7-3s 2.594e+00  [-194 1.877e-10 4.067e-11 1.983e-02]  [68 -10 5]
 ST 8-1  2.839e+00  [0 1.000e+00 1.456e-01 9.723e-06]  [242 -12 5]
 ST 8-2  2.907e+00  [-92 2.391e-05 3.481e-06 9.941e-06]  [293 -15 25]
 ST 8-3s 2.963e+00  [-190 2.944e-10 4.286e-11 1.828e-02]  [84 -16 7]
 ST 9-1  3.207e+00  [0 1.000e+00 6.591e-02 9.905e-06]  [247 -14 6]
 ST 9-2  3.278e+00  [-89 3.287e-05 2.166e-06 9.996e-06]  [325 -5 27]
 ST 9-3s 3.332e+00  [-185 5.117e-10 3.373e-11 2.360e-02]  [76 -13 7]
 ST 10-1  3.588e+00  [0 1.000e+00 5.320e-02 9.951e-06]  [283 -8 6]
 ST 10-2  3.650e+00  [-91 2.675e-05 1.423e-06 9.564e-06]  [272 -7 21]
 ST 10-3s 3.705e+00  [-185 5.318e-10 2.829e-11 2.871e-02]  [94 -13 7]
 ST 11-1  3.974e+00  [0 1.000e+00 3.624e-02 9.667e-06]  [289 -10 6]
 ST 11-2  4.044e+00  [-91 2.697e-05 9.774e-07 9.861e-06]  [314 -2 23]
 ST 11-3s 4.099e+00  [-182 7.469e-10 2.707e-11 2.942e-02]  [74 -9 7]
 ST 12-1  4.358e+00  [0 1.000e+00 3.858e-02 9.729e-06]  [270 -5 5]
