---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  9.170e-01  [0 1.000e+00 1.000e+00 9.971e-06]  [1003 -2 50]
 ST 1-2  2.001e+00  [-82 7.244e-05 7.244e-05 9.975e-06]  [1369 -3 58]
 ST 1-3s 2.937e+00  [-178 1.232e-09 1.232e-09 1.195e-03]  [1071 -3 53]
 ST 2-1  6.566e+00  [0 1.000e+00 1.379e+00 9.989e-06]  [982 -1 12]
 ST 2-2  7.874e+00  [-95 1.606e-05 2.214e-05 9.948e-06]  [1893 0 66]
 ST 2-3s 8.625e+00  [-181 8.679e-10 1.197e-09 1.233e-03]  [646 -2 39]
 ST 3-1  1.086e+01  [0 1.000e+00 1.172e+00 9.971e-06]  [952 -2 20]
 ST 3-2  1.206e+01  [-89 3.204e-05 3.757e-05 9.955e-06]  [1789 0 65]
 ST 3-3s 1.279e+01  [-177 1.259e-09 1.476e-09 9.954e-04]  [697 -2 42]
 ST 4-1  1.484e+01  [0 1.000e+00 9.579e-01 9.985e-06]  [887 -1 20]
 ST 4-2  1.602e+01  [-98 1.211e-05 1.160e-05 9.952e-06]  [1588 0 64]
 ST 4-3s 1.679e+01  [-178 1.152e-09 1.103e-09 1.332e-03]  [717 0 43]
 ST 5-1  1.887e+01  [0 1.000e+00 6.209e-01 9.990e-06]  [800 -2 19]
 ST 5-2  2.014e+01  [-93 2.061e-05 1.280e-05 9.979e-06]  [1845 0 66]
 ST 5-3s 2.091e+01  [-178 1.174e-09 7.287e-10 2.019e-03]  [725 -1 43]
 ST 6-1  2.294e+01  [0 1.000e+00 4.483e-01 9.981e-06]  [828 -1 19]
 ST 6-2  2.420e+01  [-98 1.186e-05 5.316e-06 9.930e-06]  [1661 -1 65]
 ST 6-3s 2.492e+01  [-175 1.631e-09 7.312e-10 2.009e-03]  [574 0 38]
 ST 7-1  2.717e+01  [0 1.000e+00 2.465e-01 9.960e-06]  [903 -2 22]
 ST 7-2  2.838e+01  [-97 1.400e-05 3.452e-06 9.975e-06]  [1567 -2 64]
 ST 7-3s 2.908e+01  [-175 1.637e-09 4.036e-10 3.646e-03]  [469 0 33]
 ST 8-1  3.186e+01  [0 1.000e+00 1.815e-01 9.995e-06]  [914 -3 22]
 ST 8-2  3.380e+01  [-99 1.047e-05 1.901e-06 9.992e-06]  [1965 -1 73]
 ST 8-3s 3.457e+01  [-176 1.582e-09 2.872e-10 5.114e-03]  [438 -2 37]
 ST 9-1  3.711e+01  [0 1.000e+00 8.192e-02 9.974e-06]  [1045 -1 22]
 ST 9-2  4.001e+01  [-99 1.046e-05 8.568e-07 9.936e-06]  [1383 -1 29]
 ST 9-3s 4.063e+01  [-175 1.645e-09 1.347e-10 1.091e-02]  [296 -2 22]
 ST 10-1  4.347e+01  [0 1.000e+00 7.292e-02 9.960e-06]  [1080 0 34]
 ST 10-2  4.549e+01  [-99 1.028e-05 7.498e-07 9.972e-06]  [1942 0 67]
 ST 10-3s 4.620e+01  [-175 1.683e-09 1.227e-10 1.196e-02]  [280 -1 23]
 ST 11-1  4.885e+01  [0 1.000e+00 2.391e-02 9.995e-06]  [1279 0 24]
 ST 11-2  5.045e+01  [-99 1.065e-05 2.546e-07 9.953e-06]  [1977 -2 69]
 ST 11-3s 5.105e+01  [-174 1.835e-09 4.388e-11 3.348e-02]  [100 -5 10]
 ST 12-1  5.401e+01  [0 1.000e+00 3.286e-02 9.976e-06]  [1253 -2 29]
 ST 12-2  5.561e+01  [-99 1.090e-05 3.582e-07 9.960e-06]  [1481 0 65]
 ST 12-3s 5.630e+01  [-174 1.782e-09 5.856e-11 2.504e-02]  [131 -2 11]
 ST 13-1  5.999e+01  [0 1.000e+00 1.612e-02 9.978e-06]  [1383 0 28]
 ST 13-2  6.187e+01  [-97 1.283e-05 2.068e-07 9.981e-06]  [1874 -2 66]
 ST 13-3s 6.252e+01  [-173 2.042e-09 3.292e-11 4.465e-02]  [88 -3 8]
 ST 14-1  6.576e+01  [0 1.000e+00 2.035e-02 9.950e-06]  [1356 -2 29]
 ST 14-2  6.781e+01  [-98 1.185e-05 2.412e-07 9.951e-06]  [1892 0 67]
 ST 14-3s 6.854e+01  [-174 1.857e-09 3.778e-11 3.853e-02]  [99 -5 9]
 ST 15-1  7.381e+01  [0 1.000e+00 2.174e-02 9.976e-06]  [1341 -1 51]
 ST 15-2  7.611e+01  [-97 1.313e-05 2.854e-07 9.995e-06]  [1831 -3 66]
 ST 15-3s 7.697e+01  [-175 1.772e-09 3.852e-11 3.810e-02]  [105 0 10]
 ST 16-1  8.088e+01  [0 1.000e+00 1.921e-02 9.943e-06]  [1361 -2 30]
 ST 16-2  8.355e+01  [-98 1.205e-05 2.314e-07 9.977e-06]  [1935 -3 64]
 ST 16-3s 8.442e+01  [-174 1.787e-09 3.434e-11 4.264e-02]  [96 -5 13]
 ST 17-1  8.995e+01  [0 1.000e+00 2.422e-02 9.973e-06]  [1311 -2 32]
 ST 17-2  9.373e+01  [-97 1.342e-05 3.249e-07 9.995e-06]  [1764 -1 64]
 ST 17-3s 9.486e+01  [-176 1.581e-09 3.830e-11 3.847e-02]  [108 -1 9]
 ST 18-1  9.980e+01  [0 1.000e+00 1.944e-02 9.966e-06]  [1346 -1 26]
 ST 18-2  1.021e+02  [-98 1.245e-05 2.421e-07 9.915e-06]  [1700 -1 62]
 ST 18-3s 1.029e+02  [-175 1.679e-09 3.264e-11 4.451e-02]  [95 -5 9]
 ST 19-1  1.083e+02  [0 1.000e+00 2.186e-02 9.951e-06]  [1319 -3 21]
 ST 19-2  1.105e+02  [-97 1.339e-05 2.928e-07 9.944e-06]  [1975 -2 67]
 ST 19-3s 1.112e+02  [-176 1.497e-09 3.272e-11 4.447e-02]  [100 -6 10]
 ST 20-1  1.147e+02  [0 1.000e+00 1.748e-02 9.975e-06]  [1347 -1 29]
 ST 20-2  1.164e+02  [-97 1.356e-05 2.370e-07 9.983e-06]  [1443 0 60]
 ST 20-3s 1.171e+02  [-175 1.687e-09 2.949e-11 4.922e-02]  [94 -5 9]
 ST 21-1  1.207e+02  [0 1.000e+00 1.743e-02 9.992e-06]  [1347 -1 27]
 ST 21-2  1.226e+02  [-97 1.348e-05 2.350e-07 9.983e-06]  [1648 -1 65]
 ST 21-3s 1.233e+02  [-175 1.641e-09 2.861e-11 5.142e-02]  [93 -4 9]
 ST 22-1  1.270e+02  [0 1.000e+00 1.647e-02 9.970e-06]  [1337 -1 28]
 ST 22-2  1.292e+02  [-96 1.457e-05 2.400e-07 9.989e-06]  [1928 -2 66]
 ST 22-3s 1.300e+02  [-175 1.650e-09 2.718e-11 5.416e-02]  [94 -4 9]
 ST 23-1  1.338e+02  [0 1.000e+00 1.567e-02 9.942e-06]  [1346 -1 27]
 ST 23-2  1.358e+02  [-98 1.245e-05 1.951e-07 9.934e-06]  [1692 -1 64]
 ST 23-3s 1.366e+02  [-175 1.685e-09 2.640e-11 5.524e-02]  [82 -2 7]
 ST 24-1  1.415e+02  [0 1.000e+00 1.841e-02 9.979e-06]  [1292 -1 19]
 ST 24-2  1.435e+02  [-97 1.371e-05 2.525e-07 9.979e-06]  [1741 0 66]
 ST 24-3s 1.443e+02  [-176 1.447e-09 2.665e-11 5.400e-02]  [97 -5 9]
 ST 25-1  1.477e+02  [0 1.000e+00 1.728e-02 9.987e-06]  [1303 -2 28]
 ST 25-2  1.494e+02  [-98 1.126e-05 1.945e-07 9.896e-06]  [1286 -1 61]
 ST 25-3s 1.502e+02  [-176 1.521e-09 2.628e-11 5.591e-02]  [77 -1 7]
 ST 26-1  1.536e+02  [0 1.000e+00 1.893e-02 9.991e-06]  [1263 -2 26]
 ST 26-2  1.555e+02  [-97 1.261e-05 2.386e-07 9.982e-06]  [1831 -3 66]
 ST 26-3s 1.561e+02  [-177 1.363e-09 2.581e-11 5.651e-02]  [95 -4 9]
 ST 27-1  1.597e+02  [0 1.000e+00 1.612e-02 9.991e-06]  [1291 -1 28]
 ST 27-2  1.618e+02  [-99 1.104e-05 1.780e-07 9.986e-06]  [1771 -2 65]
 ST 27-3s 1.625e+02  [-176 1.575e-09 2.538e-11 5.809e-02]  [74 -1 6]
 ST 28-1  1.664e+02  [0 1.000e+00 1.398e-02 9.988e-06]  [1292 -1 28]
 ST 28-2  1.684e+02  [-98 1.199e-05 1.676e-07 9.993e-06]  [1712 -2 63]
 ST 28-3s 1.691e+02  [-175 1.724e-09 2.411e-11 6.110e-02]  [66 0 6]
 ST 29-1  1.725e+02  [0 1.000e+00 1.230e-02 9.947e-06]  [1309 -2 27]
 ST 29-2  1.759e+02  [-98 1.194e-05 1.469e-07 1.004e-05]  [1577 -3 34]
 ST 29-3s 1.766e+02  [-174 1.959e-09 2.409e-11 6.114e-02]  [24 -28 2]
 ST 30-1  1.802e+02  [0 1.000e+00 1.950e-01 9.970e-06]  [1336 -1 26]
 ST 30-2  1.816e+02  [-70 3.012e-04 5.872e-05 9.915e-06]  [1030 -1 53]
 ST 30-3s 1.830e+02  [-170 3.112e-09 6.066e-10 2.425e-03]  [1070 -3 53]
 ST 31-1  1.865e+02  [0 1.000e+00 7.888e+00 9.989e-06]  [1328 0 30]
 ST 31-2  1.877e+02  [-38 1.203e-02 9.491e-02 9.991e-06]  [742 -1 42]
 ST 31-3s 1.894e+02  [-122 7.341e-07 5.790e-06 9.984e-06]  [1596 -1 63]
 ST 32-1  1.931e+02  [0 1.000e+00 4.882e+00 9.964e-06]  [1545 -1 31]
 ST 32-2  1.943e+02  [-24 5.993e-02 2.926e-01 9.946e-06]  [683 -1 44]
 ST 32-3  1.961e+02  [-91 2.622e-05 1.280e-04 9.937e-06]  [1351 -1 61]
 ST 32-4s 1.980e+02  [-136 1.513e-07 7.385e-07 9.997e-06]  [1254 -2 61]
 ST 33-1  2.029e+02  [0 1.000e+00 8.308e+00 9.944e-06]  [1445 -1 25]
 ST 33-2  2.044e+02  [-30 2.887e-02 2.398e-01 9.995e-06]  [833 -1 47]
 ST 33-3  2.061e+02  [-86 4.584e-05 3.809e-04 9.978e-06]  [1316 -3 57]
 ST 33-4s 2.095e+02  [-128 3.912e-07 3.250e-06 9.979e-06]  [1274 -3 31]
 ST 34-1  2.132e+02  [0 1.000e+00 1.043e+01 9.967e-06]  [1318 -3 27]
 ST 34-2  2.149e+02  [-37 1.277e-02 1.331e-01 9.958e-06]  [1032 -1 59]
 ST 34-3  2.192e+02  [-87 4.184e-05 4.363e-04 9.960e-06]  [1298 -1 69]
 ST 34-4s 2.228e+02  [-132 2.259e-07 2.356e-06 9.993e-06]  [1218 -3 51]
 ST 35-1  2.295e+02  [0 1.000e+00 1.489e+01 9.952e-06]  [1187 -1 22]
 ST 35-2  2.312e+02  [-21 8.592e-02 1.279e+00 9.945e-06]  [927 0 44]
 ST 35-3  2.324e+02  [-59 1.077e-03 1.604e-02 9.967e-06]  [890 -1 48]
