gamma,n
1.396239,1.517325
1.406926,1.520545
1.326731,1.497711
1.466306,1.536772
1.287835,1.489813
1.185258,1.464107
1.095867,1.432896
1.206731,1.469628
1.171483,1.456283
1.186894,1.463195
1.165877,1.459145
1.272593,1.489581
1.204208,1.470656
1.150754,1.450802
1.176578,1.462598
1.100288,1.441446
1.196196,1.467552
1.159403,1.457068
1.040787,1.418741
1.066029,1.427289
1.043431,1.423337
1.078792,1.433096
1.005089,1.410940
1.026160,1.420301
1.044021,1.424800
0.994649,1.405560
0.913112,1.377869
0.944389,1.391296
1.021949,1.414571
0.984895,1.404282
3.246616,1.671688
2.460180,1.538098
3.066824,1.664535
2.841305,1.618575
2.614303,1.574580
2.398817,1.533227
2.724439,1.608106
2.253150,1.521732
2.523377,1.575055
2.545446,1.585506
2.487104,1.578931
2.050096,1.501746
2.376054,1.561458
2.314323,1.553847
2.314401,1.554243
2.377970,1.580119
2.163948,1.531477
2.049498,1.509599
2.140059,1.537311
2.204822,1.539486
2.277592,1.565076
1.995400,1.503064
2.193977,1.548750
1.889876,1.492605
2.121811,1.533042
2.080215,1.530196
2.054718,1.525081
1.897260,1.500766
2.040192,1.529582
2.145544,1.566565
3.164863,1.485880
3.301700,1.494866
4.373281,1.623339
3.845258,1.572500
3.345744,1.467591
3.582858,1.513599
3.577917,1.520510
3.427284,1.490162
3.939770,1.553726
4.465679,1.638690
3.493641,1.530948
3.798181,1.565276
3.488268,1.530713
3.330500,1.496120
3.734162,1.554208
3.570641,1.562411
4.029180,1.588126
4.236870,1.632360
3.895280,1.597898
3.692695,1.582709
3.545450,1.566681
3.282714,1.524556
4.370980,1.678444
3.085679,1.509626
3.442667,1.563434
3.559670,1.593441
3.411984,1.570580
3.148417,1.540371
3.123182,1.517503
3.637351,1.607889
1.041109,1.573820
1.091951,1.593124
0.903788,1.528829
0.886069,1.521997
0.798233,1.489220
0.948784,1.549716
0.878335,1.525681
0.860729,1.516401
0.891828,1.529214
0.883154,1.523064
0.816314,1.501397
0.797096,1.495301
0.859517,1.518641
0.753341,1.475954
0.757856,1.480777
0.755617,1.478658
0.731071,1.471677
0.709726,1.462480
0.708085,1.460800
0.690186,1.453482
0.689149,1.453336
0.699626,1.457307
0.678464,1.448717
0.681435,1.449294
0.654155,1.436972
0.634511,1.427574
0.649104,1.435468
0.632035,1.426249
0.607712,1.416685
0.606112,1.414688
2.125334,1.714732
1.550997,1.575321
1.515666,1.566730
1.504593,1.574516
1.873501,1.671382
1.605124,1.603008
1.538381,1.596586
1.570405,1.596838
1.617423,1.618124
1.457380,1.579179
1.573071,1.617871
1.603571,1.622146
1.527840,1.598395
1.462111,1.587037
1.309167,1.549767
1.345628,1.553148
1.397056,1.567464
1.295253,1.548452
1.398538,1.582975
1.213927,1.524503
1.194854,1.521424
1.137481,1.500709
1.263252,1.544066
1.105867,1.497898
1.302014,1.559134
1.207735,1.529770
1.227758,1.535655
1.297339,1.553969
1.143635,1.511071
1.166774,1.516809
2.649022,1.623682
3.146383,1.712861
3.001279,1.688266
2.571543,1.615247
2.111352,1.553110
2.583908,1.618987
2.089809,1.550101
3.255968,1.733874
2.287214,1.583057
2.688696,1.668788
2.193609,1.579157
2.376991,1.632965
2.118564,1.562446
2.258354,1.599816
2.272317,1.619626
2.087362,1.585311
2.123003,1.598773
2.079532,1.589744
2.135134,1.603530
2.012434,1.570486
2.209713,1.635393
2.165346,1.638056
2.029192,1.606085
2.511444,1.704663
2.241405,1.654242
2.318523,1.681960
2.222689,1.649351
1.917475,1.595159
2.496616,1.716306
2.447720,1.708833
0.836086,1.564785
0.805147,1.558462
0.823717,1.568408
0.734882,1.534288
0.805912,1.559453
0.771673,1.552306
0.706801,1.522292
0.734053,1.537327
0.788299,1.560462
0.714027,1.531877
0.677031,1.516502
0.709075,1.530378
0.690211,1.521781
0.643962,1.502728
0.636983,1.497482
0.601509,1.485000
0.618901,1.494588
0.574267,1.472072
0.601376,1.483437
0.566711,1.470748
0.562439,1.469216
0.553798,1.465317
0.535444,1.455384
0.521778,1.449128
0.518823,1.447910
0.516605,1.446594
0.517265,1.445341
0.506271,1.442561
0.502258,1.440835
0.485055,1.433915
2.290106,1.836711
1.560113,1.655572
1.519448,1.649326
1.465651,1.647090
1.362575,1.618589
1.477085,1.652152
1.724590,1.722962
1.613323,1.700998
1.447336,1.658483
1.417549,1.648679
1.318332,1.624090
1.304631,1.626432
1.524942,1.690141
1.298276,1.626000
1.159527,1.590340
1.404625,1.660114
1.284387,1.635403
1.125431,1.578370
1.279652,1.633746
1.365116,1.658279
1.034758,1.561691
1.256077,1.634894
1.061548,1.572155
1.247049,1.635119
1.179337,1.611510
1.194081,1.619647
1.102620,1.588400
1.159531,1.618488
0.989834,1.553847
1.035973,1.573130
2.468834,1.675391
2.144109,1.659845
2.728066,1.754210
2.057266,1.636980
2.319296,1.713813
2.030774,1.624026
2.328819,1.699027
2.531242,1.748978
2.310156,1.698382
2.629122,1.779862
2.016558,1.637913
1.893284,1.633215
2.680183,1.806385
2.402411,1.758266
1.804378,1.627884
1.809327,1.632099
2.203818,1.722134
1.948976,1.681065
1.891189,1.663920
1.665263,1.625247
2.005626,1.705730
1.849775,1.675025
1.724348,1.649101
1.793518,1.668876
2.016530,1.721397
1.919685,1.708385
1.854470,1.683406
1.790205,1.679756
1.710971,1.658476
1.828994,1.691666
1.396239,1.517325
1.264477,1.503364
1.262028,1.517812
1.121164,1.487605
1.292061,1.550104
1.119719,1.518654
1.152394,1.538477
1.182777,1.555659
1.016865,1.513841
1.060692,1.537359
1.070900,1.552954
0.961229,1.522228
1.151961,1.587470
0.925605,1.524509
0.933733,1.533910
1.028146,1.575297
0.933041,1.546254
1.066248,1.596761
1.012670,1.588396
0.928026,1.561694
0.922261,1.566743
0.943889,1.573389
0.922250,1.572631
0.923649,1.576062
0.854067,1.556765
0.878552,1.570641
0.903838,1.580548
0.887825,1.579661
0.853518,1.568321
0.836086,1.564785
3.246616,1.671688
2.497079,1.567637
2.465425,1.591988
2.105491,1.540586
2.600344,1.671887
2.742874,1.709066
1.926223,1.563201
2.286656,1.650476
2.140393,1.640964
2.001527,1.629674
1.769393,1.583697
1.850273,1.606981
1.939797,1.649197
1.775640,1.612141
1.835832,1.646977
1.931580,1.672609
1.923104,1.667344
1.546323,1.590052
2.075754,1.720424
1.615699,1.633267
1.725543,1.654238
2.201934,1.762764
1.651694,1.646434
2.204124,1.772204
1.627465,1.665021
1.668476,1.654189
1.565373,1.635142
1.607986,1.649318
2.157359,1.793136
2.290106,1.836711
3.164863,1.485880
2.946849,1.470413
2.916628,1.510695
3.382920,1.598576
3.020721,1.529132
3.494821,1.602493
3.240202,1.556925
2.867624,1.547681
3.228082,1.594108
2.522214,1.530856
3.453586,1.719101
2.725284,1.576780
2.634364,1.575136
2.632947,1.607406
2.651277,1.612190
2.746504,1.664181
2.244547,1.591917
2.317783,1.593177
2.325702,1.597557
2.547329,1.657375
2.263732,1.629856
2.246714,1.603636
2.352390,1.608827
2.948921,1.747870
2.304799,1.631660
2.389534,1.642516
2.303413,1.675696
2.965860,1.783008
2.418994,1.709605
2.468834,1.675391
1.141546,1.453913
1.086579,1.449306
1.114085,1.473954
1.041001,1.465083
0.983961,1.460458
0.900872,1.447156
0.960225,1.478490
0.920159,1.475241
0.867845,1.465424
0.892187,1.488679
0.826820,1.471701
0.858290,1.492181
0.737623,1.453750
0.804395,1.490483
0.733433,1.466491
0.757265,1.483698
0.752885,1.491918
0.788663,1.508752
0.725701,1.490154
0.771805,1.512751
0.720579,1.496662
0.664677,1.477309
0.699619,1.494121
0.675280,1.496225
0.669592,1.494411
0.695657,1.512137
0.640631,1.488932
0.630121,1.491401
0.661021,1.503591
0.624582,1.493724
2.141406,1.506898
2.290033,1.565638
1.974409,1.525862
1.865700,1.527940
1.798214,1.533477
1.911678,1.558644
1.859578,1.580148
1.746504,1.568475
1.784725,1.603112
1.712099,1.598206
1.564287,1.559341
1.412610,1.541606
1.367021,1.537890
1.378786,1.544542
1.633753,1.631030
1.454267,1.589539
1.311325,1.561389
1.208502,1.536273
1.228155,1.543787
1.249267,1.559943
1.323050,1.585509
1.331581,1.601020
1.540775,1.661211
1.370337,1.615349
1.453465,1.651842
1.400355,1.647645
1.282028,1.609790
1.517684,1.679319
1.076508,1.559485
1.272336,1.629563
3.869850,1.569176
3.183204,1.495927
2.636546,1.458206
3.132328,1.571474
3.134856,1.588689
2.958122,1.604983
3.117717,1.631112
2.899197,1.615207
2.160139,1.493824
2.659966,1.643632
2.574762,1.600223
2.328088,1.581552
3.120559,1.761745
2.545672,1.655605
2.133049,1.578630
2.852551,1.750043
2.043886,1.588959
2.187472,1.630172
2.129553,1.627941
2.249865,1.651754
2.377119,1.693810
2.165984,1.645265
1.713447,1.559416
2.296123,1.695362
2.094413,1.679336
2.271446,1.742697
2.117678,1.696888
2.234575,1.720810
1.626283,1.596695
1.858599,1.654904
0.984895,1.404282
0.904117,1.389874
0.848808,1.383861
0.832913,1.390891
0.794932,1.389345
0.783461,1.396304
0.743239,1.392803
0.743403,1.403909
0.723193,1.405990
0.703463,1.410119
0.665588,1.404490
0.644245,1.401368
0.683856,1.427900
0.633224,1.414624
0.641425,1.427398
0.607426,1.417580
0.604080,1.423675
0.592367,1.423766
0.580899,1.426008
0.577349,1.430852
0.561485,1.427305
0.548740,1.427552
0.540381,1.427232
0.539999,1.432981
0.536465,1.435342
0.510683,1.429331
0.514710,1.434069
0.509179,1.434021
0.515591,1.441307
0.485055,1.433915
2.145544,1.566565
1.984983,1.538386
1.786840,1.515334
1.822342,1.539249
1.670456,1.522019
1.806959,1.570706
1.436219,1.490290
1.391852,1.493610
1.463242,1.536130
1.412766,1.529552
1.230499,1.485834
1.321391,1.526614
1.307711,1.539338
1.267307,1.535412
1.178119,1.517107
1.142800,1.518591
1.171675,1.535209
1.050875,1.508840
1.231131,1.565985
1.086521,1.531938
1.005969,1.514235
1.149368,1.562626
1.098895,1.558611
1.032099,1.543817
1.056055,1.558217
1.131387,1.588800
0.989689,1.542368
0.939070,1.530544
0.986466,1.554527
1.035973,1.573130
3.637351,1.607889
2.684839,1.501201
2.812765,1.536694
2.451222,1.504544
2.908151,1.606522
2.541435,1.563675
2.293274,1.521952
2.379921,1.551967
2.206382,1.550488
2.031981,1.527263
2.160043,1.567893
2.189298,1.612652
2.640486,1.691160
2.292520,1.625140
1.877965,1.579157
2.296598,1.684839
1.864143,1.588574
1.724060,1.563802
1.850012,1.616981
1.613104,1.563812
1.680516,1.592978
1.711295,1.613092
1.684448,1.603069
1.926509,1.677579
1.419447,1.560511
1.462383,1.583680
1.625160,1.628770
1.360799,1.567717
1.616296,1.626421
1.828994,1.691666
1.396239,1.517325
1.479746,1.525095
1.595941,1.540885
1.782180,1.569968
1.951882,1.610428
1.892017,1.575853
1.784057,1.530402
2.046634,1.572120
2.178033,1.601304
2.220467,1.589034
2.082029,1.539332
2.294130,1.566628
2.280262,1.559962
2.550091,1.571308
3.031537,1.640318
2.630235,1.549899
2.377624,1.506332
2.475542,1.518231
2.779910,1.528546
2.722674,1.509056
2.985831,1.555923
3.362866,1.588720
2.941900,1.533115
2.814932,1.469056
3.983953,1.617953
3.530223,1.530333
4.221224,1.619705
3.539682,1.531504
3.751210,1.552040
3.164863,1.485880
1.041109,1.573820
1.130844,1.591271
1.125446,1.582116
1.293524,1.630402
1.127751,1.564939
1.299258,1.609504
1.470059,1.649618
1.353782,1.608926
1.376958,1.601317
1.448504,1.608387
1.461135,1.596076
1.513008,1.601574
2.104161,1.730031
1.706866,1.626777
1.718999,1.614286
1.823907,1.641094
1.906951,1.634636
2.025706,1.654260
2.240454,1.696012
2.170050,1.662072
2.004210,1.614993
2.009534,1.593482
2.237853,1.651099
2.869007,1.731494
2.615499,1.679483
2.704471,1.686349
2.705706,1.671148
2.590585,1.637996
2.721978,1.637484
2.649022,1.623682
0.836086,1.564785
0.933248,1.595140
1.139662,1.659686
0.999417,1.595247
1.012402,1.602003
1.060276,1.607305
1.102306,1.603569
1.269615,1.660143
1.346573,1.662094
1.712001,1.751426
1.365687,1.650564
1.676899,1.725123
1.711051,1.727596
1.700960,1.709931
1.630999,1.677572
1.366771,1.587820
2.175597,1.783792
1.643493,1.649169
2.051914,1.740459
2.641824,1.850634
2.402273,1.776312
2.008897,1.693217
2.331201,1.745788
2.611172,1.782635
1.703556,1.580180
1.884267,1.617612
3.121927,1.843376
2.180750,1.673196
2.825695,1.776455
2.468834,1.675391
1.141546,1.453913
1.275521,1.479668
1.299813,1.475030
1.325922,1.475118
1.477584,1.496967
1.600648,1.523355
1.494292,1.484844
1.765134,1.539348
1.929416,1.561968
1.922420,1.546940
1.909449,1.533162
1.989851,1.541411
2.045599,1.536248
2.011681,1.513209
2.395178,1.589084
2.627329,1.601831
2.395396,1.550333
2.726639,1.585199
2.470029,1.543442
2.912647,1.608486
2.549367,1.495965
2.623415,1.496737
2.718096,1.499336
3.540467,1.616373
