CaseNum,Radius,Height,Thickness
0.000,2.100,5.000,0.600
1.000,2.129,5.000,0.600
2.000,2.159,5.000,0.600
3.000,2.188,5.000,0.600
4.000,2.217,5.000,0.600
5.000,2.247,5.000,0.600
6.000,2.276,5.000,0.600
7.000,2.305,5.000,0.600
8.000,2.334,5.000,0.600
9.000,2.364,5.000,0.600
10.000,2.393,5.000,0.600
11.000,2.422,5.000,0.600
12.000,2.452,5.000,0.600
13.000,2.481,5.000,0.600
14.000,2.510,5.000,0.600
15.000,2.540,5.000,0.600
16.000,2.569,5.000,0.600
17.000,2.598,5.000,0.600
18.000,2.628,5.000,0.600
19.000,2.657,5.000,0.600
20.000,2.686,5.000,0.600
21.000,2.716,5.000,0.600
22.000,2.745,5.000,0.600
23.000,2.774,5.000,0.600
24.000,2.803,5.000,0.600
25.000,2.833,5.000,0.600
26.000,2.862,5.000,0.600
27.000,2.891,5.000,0.600
28.000,2.921,5.000,0.600
29.000,2.950,5.000,0.600
30.000,2.100,5.000,0.850
31.000,2.129,5.000,0.850
32.000,2.159,5.000,0.850
33.000,2.188,5.000,0.850
34.000,2.217,5.000,0.850
35.000,2.247,5.000,0.850
36.000,2.276,5.000,0.850
37.000,2.305,5.000,0.850
38.000,2.334,5.000,0.850
39.000,2.364,5.000,0.850
40.000,2.393,5.000,0.850
41.000,2.422,5.000,0.850
42.000,2.452,5.000,0.850
43.000,2.481,5.000,0.850
44.000,2.510,5.000,0.850
45.000,2.540,5.000,0.850
46.000,2.569,5.000,0.850
47.000,2.598,5.000,0.850
48.000,2.628,5.000,0.850
49.000,2.657,5.000,0.850
50.000,2.686,5.000,0.850
51.000,2.716,5.000,0.850
52.000,2.745,5.000,0.850
53.000,2.774,5.000,0.850
54.000,2.803,5.000,0.850
55.000,2.833,5.000,0.850
56.000,2.862,5.000,0.850
57.000,2.891,5.000,0.850
58.000,2.921,5.000,0.850
59.000,2.950,5.000,0.850
60.000,2.100,5.000,1.100
61.000,2.129,5.000,1.100
62.000,2.159,5.000,1.100
63.000,2.188,5.000,1.100
64.000,2.217,5.000,1.100
65.000,2.247,5.000,1.100
66.000,2.276,5.000,1.100
67.000,2.305,5.000,1.100
68.000,2.334,5.000,1.100
69.000,2.364,5.000,1.100
70.000,2.393,5.000,1.100
71.000,2.422,5.000,1.100
72.000,2.452,5.000,1.100
73.000,2.481,5.000,1.100
74.000,2.510,5.000,1.100
75.000,2.540,5.000,1.100
76.000,2.569,5.000,1.100
77.000,2.598,5.000,1.100
78.000,2.628,5.000,1.100
79.000,2.657,5.000,1.100
80.000,2.686,5.000,1.100
81.000,2.716,5.000,1.100
82.000,2.745,5.000,1.100
83.000,2.774,5.000,1.100
84.000,2.803,5.000,1.100
85.000,2.833,5.000,1.100
86.000,2.862,5.000,1.100
87.000,2.891,5.000,1.100
88.000,2.921,5.000,1.100
89.000,2.950,5.000,1.100
90.000,2.100,8.500,0.600
91.000,2.129,8.500,0.600
92.000,2.159,8.500,0.600
93.000,2.188,8.500,0.600
