---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  1.120e-01  [0 1.000e+00 1.000e+00 9.931e-06]  [946 -3 65]
 ST 1-2  1.690e-01  [-16 1.561e-01 1.561e-01 9.921e-06]  [596 -3 53]
 ST 1-3s 2.580e-01  [-104 5.941e-06 5.941e-06 9.971e-06]  [992 -1 57]
 ST 2-1  5.380e-01  [0 1.000e+00 1.568e+00 9.998e-06]  [774 -1 16]
 ST 2-2  6.230e-01  [-35 1.667e-02 2.613e-02 9.965e-06]  [507 -4 34]
 ST 2-3s 7.180e-01  [-127 4.383e-07 6.872e-07 9.999e-06]  [1027 -1 60]
 ST 3-1  1.044e+00  [0 1.000e+00 1.554e+00 9.955e-06]  [861 -4 14]
 ST 3-2  1.099e+00  [-26 4.494e-02 6.982e-02 9.898e-06]  [533 -2 49]
 ST 3-3s 1.189e+00  [-112 2.411e-06 3.746e-06 9.927e-06]  [1008 -3 59]
 ST 4-1  1.602e+00  [0 1.000e+00 8.746e-01 9.955e-06]  [853 -3 11]
 ST 4-2  1.658e+00  [-34 1.788e-02 1.563e-02 9.956e-06]  [591 -3 54]
 ST 4-3s 1.758e+00  [-127 4.071e-07 3.560e-07 9.956e-06]  [959 -5 49]
 ST 5-1  2.144e+00  [0 1.000e+00 7.086e-01 9.992e-06]  [881 -1 12]
 ST 5-2  2.201e+00  [-30 2.898e-02 2.054e-02 9.966e-06]  [560 -5 51]
 ST 5-3s 2.298e+00  [-123 6.907e-07 4.894e-07 9.924e-06]  [1024 -1 69]
 ST 6-1  2.527e+00  [0 1.000e+00 4.115e-01 9.963e-06]  [858 -4 20]
 ST 6-2  2.616e+00  [-43 6.818e-03 2.805e-03 9.946e-06]  [647 -3 42]
 ST 6-3s 2.695e+00  [-130 2.993e-07 1.232e-07 1.009e-05]  [1029 -1 67]
 ST 7-1  3.094e+00  [0 1.000e+00 6.403e-01 9.962e-06]  [854 -3 11]
 ST 7-2  3.161e+00  [-35 1.600e-02 1.025e-02 9.989e-06]  [608 -4 57]
 ST 7-3s 3.245e+00  [-121 8.268e-07 5.294e-07 9.924e-06]  [1036 -2 67]
 ST 8-1  3.490e+00  [0 1.000e+00 2.423e-01 9.976e-06]  [950 -3 20]
 ST 8-2  3.565e+00  [-42 7.918e-03 1.918e-03 9.945e-06]  [608 -4 37]
 ST 8-3s 3.644e+00  [-127 4.048e-07 9.807e-08 1.261e-05]  [1022 0 67]
 ST 9-1  4.021e+00  [0 1.000e+00 3.043e-01 9.958e-06]  [908 -4 11]
 ST 9-2  4.071e+00  [-42 7.479e-03 2.276e-03 9.994e-06]  [592 -3 54]
 ST 9-3s 4.141e+00  [-134 1.810e-07 5.508e-08 2.268e-05]  [971 0 67]
 ST 10-1  4.445e+00  [0 1.000e+00 2.147e-01 9.948e-06]  [911 -4 14]
 ST 10-2  4.509e+00  [-52 2.303e-03 4.945e-04 9.991e-06]  [724 -1 52]
 ST 10-3s 4.584e+00  [-141 8.251e-08 1.772e-08 7.010e-05]  [846 -3 67]
 ST 11-1  5.038e+00  [0 1.000e+00 2.741e-01 9.951e-06]  [857 -4 8]
 ST 11-2  5.102e+00  [-44 6.007e-03 1.646e-03 9.958e-06]  [645 -3 63]
 ST 11-3s 5.209e+00  [-129 3.222e-07 8.832e-08 1.410e-05]  [968 -5 43]
 ST 12-1  5.466e+00  [0 1.000e+00 1.565e-01 9.946e-06]  [914 -4 16]
 ST 12-2  5.522e+00  [-50 2.919e-03 4.570e-04 9.920e-06]  [705 -4 57]
 ST 12-3s 5.601e+00  [-136 1.532e-07 2.397e-08 5.185e-05]  [850 -4 56]
 ST 13-1  5.812e+00  [0 1.000e+00 1.696e-01 9.980e-06]  [928 -1 19]
 ST 13-2  5.907e+00  [-53 2.051e-03 3.479e-04 9.975e-06]  [710 -4 59]
 ST 13-3s 5.983e+00  [-147 4.161e-08 7.058e-09 1.750e-04]  [735 -3 47]
 ST 14-1  6.190e+00  [0 1.000e+00 1.602e-01 9.935e-06]  [891 -2 25]
 ST 14-2  6.254e+00  [-62 7.940e-04 1.272e-04 9.902e-06]  [798 -3 56]
 ST 14-3s 6.310e+00  [-148 3.948e-08 6.325e-09 1.962e-04]  [712 -4 59]
 ST 15-1  6.491e+00  [0 1.000e+00 1.563e-01 9.943e-06]  [801 -3 20]
 ST 15-2  6.556e+00  [-53 2.181e-03 3.409e-04 9.980e-06]  [731 -1 62]
 ST 15-3s 6.629e+00  [-139 1.113e-07 1.740e-08 7.181e-05]  [800 -3 62]
 ST 16-1  7.047e+00  [0 1.000e+00 1.275e-01 9.955e-06]  [883 -1 10]
 ST 16-2  7.124e+00  [-61 8.015e-04 1.022e-04 9.961e-06]  [839 -2 70]
 ST 16-3s 7.183e+00  [-148 3.920e-08 4.999e-09 2.487e-04]  [702 -3 58]
 ST 17-1  7.375e+00  [0 1.000e+00 1.208e-01 9.984e-06]  [913 -4 22]
 ST 17-2  7.438e+00  [-64 6.305e-04 7.618e-05 9.911e-06]  [797 -3 65]
 ST 17-3s 7.493e+00  [-154 1.792e-08 2.165e-09 5.754e-04]  [618 -1 47]
 ST 18-1  7.729e+00  [0 1.000e+00 1.223e-01 9.945e-06]  [922 0 18]
 ST 18-2  7.788e+00  [-63 7.043e-04 8.616e-05 9.919e-06]  [796 -3 59]
 ST 18-3s 7.851e+00  [-150 3.054e-08 3.736e-09 3.345e-04]  [620 -1 46]
 ST 19-1  8.175e+00  [0 1.000e+00 1.110e-01 9.955e-06]  [928 -1 13]
 ST 19-2  8.236e+00  [-61 8.721e-04 9.683e-05 9.938e-06]  [827 -1 64]
 ST 19-3s 8.289e+00  [-147 3.995e-08 4.436e-09 2.817e-04]  [656 -4 55]
 ST 20-1  8.523e+00  [0 1.000e+00 1.036e-01 9.954e-06]  [873 -1 18]
 ST 20-2  8.589e+00  [-70 2.924e-04 3.030e-05 9.925e-06]  [934 -1 62]
 ST 20-3s 8.638e+00  [-157 1.338e-08 1.387e-09 8.980e-04]  [565 0 53]
 ST 21-1  8.871e+00  [0 1.000e+00 9.815e-02 9.936e-06]  [900 -3 17]
 ST 21-2  8.963e+00  [-73 2.154e-04 2.114e-05 9.983e-06]  [968 -4 58]
 ST 21-3s 9.011e+00  [-159 1.071e-08 1.051e-09 1.183e-03]  [543 -3 52]
 ST 22-1  9.242e+00  [0 1.000e+00 9.881e-02 9.942e-06]  [925 0 36]
 ST 22-2  9.309e+00  [-66 4.898e-04 4.840e-05 9.972e-06]  [859 -4 63]
 ST 22-3s 9.360e+00  [-154 1.880e-08 1.858e-09 6.712e-04]  [592 -2 53]
 ST 23-1  9.640e+00  [0 1.000e+00 9.103e-02 9.912e-06]  [892 -3 15]
 ST 23-2  9.712e+00  [-66 4.912e-04 4.472e-05 9.966e-06]  [846 -2 63]
 ST 23-3s 9.774e+00  [-156 1.560e-08 1.420e-09 8.755e-04]  [543 -4 60]
 ST 24-1  9.991e+00  [0 1.000e+00 9.017e-02 9.987e-06]  [835 -2 18]
 ST 24-2  1.006e+01  [-75 1.656e-04 1.493e-05 9.901e-06]  [944 -3 66]
 ST 24-3s 1.011e+01  [-161 8.112e-09 7.315e-10 1.703e-03]  [501 -4 50]
 ST 25-1  1.030e+01  [0 1.000e+00 8.706e-02 9.989e-06]  [886 -2 23]
 ST 25-2  1.037e+01  [-74 1.886e-04 1.642e-05 9.983e-06]  [967 -4 65]
 ST 25-3s 1.042e+01  [-161 8.623e-09 7.507e-10 1.664e-03]  [504 -4 50]
 ST 26-1  1.071e+01  [0 1.000e+00 8.810e-02 9.956e-06]  [931 -1 14]
 ST 26-2  1.078e+01  [-67 4.066e-04 3.582e-05 9.954e-06]  [866 -5 65]
 ST 26-3s 1.087e+01  [-158 1.164e-08 1.026e-09 1.204e-03]  [525 -2 40]
 ST 27-1  1.108e+01  [0 1.000e+00 8.367e-02 9.914e-06]  [911 -4 20]
 ST 27-2  1.115e+01  [-67 3.989e-04 3.338e-05 9.977e-06]  [869 0 62]
 ST 27-3s 1.120e+01  [-159 1.035e-08 8.662e-10 1.443e-03]  [525 -2 48]
 ST 28-1  1.140e+01  [0 1.000e+00 8.476e-02 9.922e-06]  [882 -1 19]
 ST 28-2  1.147e+01  [-73 2.162e-04 1.832e-05 9.963e-06]  [947 -3 62]
 ST 28-3s 1.154e+01  [-161 8.027e-09 6.803e-10 1.822e-03]  [508 -5 43]
 ST 29-1  1.182e+01  [0 1.000e+00 8.141e-02 9.932e-06]  [755 -4 15]
