---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  1.236e+00  [0 1.000e+00 1.000e+00 9.999e-06]  [2867 0 86]
 ST 1-2  1.785e+00  [-8 3.977e-01 3.977e-01 9.969e-06]  [1121 -2 72]
 ST 1-3  2.994e+00  [-96 1.493e-05 1.493e-05 9.990e-06]  [3279 -1 88]
 ST 1-4s 3.798e+00  [-147 4.195e-08 4.195e-08 2.201e-05]  [1996 0 81]
 ST 2-1  5.593e+00  [0 1.000e+00 2.096e+00 9.963e-06]  [2453 0 48]
 ST 2-2  6.439e+00  [-15 1.687e-01 3.535e-01 9.986e-06]  [1544 0 79]
 ST 2-3  7.899e+00  [-92 2.431e-05 5.094e-05 9.995e-06]  [3083 -1 86]
 ST 2-4s 8.830e+00  [-134 1.862e-07 3.901e-07 9.995e-06]  [1962 -1 80]
 ST 3-1  1.179e+01  [0 1.000e+00 1.064e+01 9.996e-06]  [1744 0 22]
 ST 3-2  1.244e+01  [-44 6.056e-03 6.443e-02 9.978e-06]  [1334 0 76]
 ST 3-3s 1.381e+01  [-101 8.540e-06 9.085e-05 9.991e-06]  [2300 0 83]
 ST 4-1  1.525e+01  [0 1.000e+00 1.275e+01 9.983e-06]  [1136 -1 30]
 ST 4-2  1.604e+01  [-47 4.396e-03 5.604e-02 9.971e-06]  [1834 -2 80]
 ST 4-3s 1.696e+01  [-101 7.975e-06 1.016e-04 9.977e-06]  [2314 -1 83]
 ST 5-1  1.865e+01  [0 1.000e+00 9.263e+00 9.992e-06]  [1661 -1 38]
 ST 5-2  1.938e+01  [-29 3.459e-02 3.204e-01 9.997e-06]  [1544 -1 74]
 ST 5-3  2.031e+01  [-86 4.542e-05 4.208e-04 9.985e-06]  [1755 -1 72]
 ST 5-4s 2.320e+01  [-138 1.137e-07 1.053e-06 9.998e-06]  [2101 0 94]
 ST 6-1  3.020e+01  [0 1.000e+00 4.231e+00 9.989e-06]  [1717 -1 9]
 ST 6-2  3.085e+01  [-24 5.776e-02 2.444e-01 9.988e-06]  [1571 -1 75]
 ST 6-3  3.176e+01  [-91 2.772e-05 1.173e-04 9.983e-06]  [2327 -1 82]
 ST 6-4s 3.266e+01  [-146 4.723e-08 1.998e-07 9.980e-06]  [2146 0 82]
 ST 7-1  3.426e+01  [0 1.000e+00 1.580e+00 9.974e-06]  [2067 -1 45]
 ST 7-2  3.482e+01  [-32 2.424e-02 3.831e-02 9.947e-06]  [1215 -2 70]
 ST 7-3s 3.571e+01  [-103 7.014e-06 1.108e-05 9.987e-06]  [2283 -1 83]
 ST 8-1  3.864e+01  [0 1.000e+00 8.561e-01 9.996e-06]  [2391 -2 26]
 ST 8-2  3.925e+01  [-35 1.645e-02 1.408e-02 9.988e-06]  [1368 -1 74]
 ST 8-3s 4.032e+01  [-108 3.841e-06 3.288e-06 9.983e-06]  [2696 -1 84]
 ST 9-1  4.597e+01  [0 1.000e+00 7.673e-01 9.968e-06]  [2267 -1 25]
 ST 9-2  4.673e+01  [-43 6.778e-03 5.201e-03 9.997e-06]  [1470 -1 75]
 ST 9-3s 4.793e+01  [-115 1.759e-06 1.350e-06 9.994e-06]  [2677 -1 81]
 ST 10-1  5.110e+01  [0 1.000e+00 1.400e+00 9.982e-06]  [2079 -1 23]
 ST 10-2  5.198e+01  [-39 1.040e-02 1.456e-02 9.986e-06]  [1661 -1 79]
 ST 10-3s 5.501e+01  [-112 2.337e-06 3.271e-06 9.974e-06]  [2590 -1 94]
 ST 11-1  5.734e+01  [0 1.000e+00 7.495e-01 9.976e-06]  [2483 -1 40]
 ST 11-2  5.811e+01  [-41 8.514e-03 6.381e-03 9.992e-06]  [1791 0 79]
 ST 11-3s 5.921e+01  [-115 1.772e-06 1.328e-06 9.986e-06]  [2567 0 83]
 ST 12-1  6.220e+01  [0 1.000e+00 5.284e-01 9.986e-06]  [2594 -1 29]
 ST 12-2  6.317e+01  [-57 1.361e-03 7.192e-04 9.994e-06]  [2241 -2 83]
 ST 12-3s 6.426e+01  [-129 3.227e-07 1.705e-07 9.983e-06]  [2703 -2 85]
 ST 13-1  6.797e+01  [0 1.000e+00 3.597e-01 9.975e-06]  [2739 -1 25]
 ST 13-2  6.882e+01  [-50 3.120e-03 1.122e-03 9.976e-06]  [1974 -1 82]
