---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  7.210e-01  [0 1.000e+00 1.000e+00 9.977e-06]  [1736 0 80]
 ST 1-2  1.155e+00  [-27 4.345e-02 4.345e-02 9.968e-06]  [874 0 68]
 ST 1-3s 2.153e+00  [-127 4.352e-07 4.352e-07 9.955e-06]  [2501 0 86]
 ST 2-1  3.239e+00  [0 1.000e+00 1.262e+00 9.964e-06]  [1523 -2 47]
 ST 2-2  3.682e+00  [-33 2.106e-02 2.657e-02 9.983e-06]  [901 -1 68]
 ST 2-3s 4.521e+00  [-133 2.106e-07 2.658e-07 9.915e-06]  [2079 -2 83]
 ST 3-1  5.574e+00  [0 1.000e+00 9.902e-01 9.992e-06]  [1389 0 44]
 ST 3-2  6.090e+00  [-42 7.192e-03 7.121e-03 9.951e-06]  [1093 -1 73]
 ST 3-3s 6.827e+00  [-142 7.174e-08 7.104e-08 1.272e-05]  [1762 -1 81]
 ST 4-1  7.945e+00  [0 1.000e+00 8.392e-01 9.996e-06]  [1564 -2 46]
 ST 4-2  8.438e+00  [-34 1.983e-02 1.664e-02 9.962e-06]  [1020 -2 71]
 ST 4-3s 9.530e+00  [-134 1.980e-07 1.662e-07 9.975e-06]  [2822 -1 87]
 ST 5-1  1.059e+01  [0 1.000e+00 5.279e-01 1.000e-05]  [1561 -1 51]
 ST 5-2  1.106e+01  [-38 1.194e-02 6.302e-03 9.993e-06]  [983 -1 69]
 ST 5-3s 1.180e+01  [-138 1.193e-07 6.298e-08 1.438e-05]  [1762 -1 80]
 ST 6-1  1.363e+01  [0 1.000e+00 3.672e-01 9.977e-06]  [1463 -2 27]
 ST 6-2  1.414e+01  [-36 1.469e-02 5.395e-03 9.990e-06]  [1070 -2 72]
 ST 6-3s 1.517e+01  [-136 1.468e-07 5.390e-08 1.683e-05]  [2678 -1 86]
 ST 7-1  1.632e+01  [0 1.000e+00 2.719e-01 9.978e-06]  [1771 -2 50]
 ST 7-2  1.675e+01  [-34 1.819e-02 4.945e-03 9.979e-06]  [852 -2 65]
 ST 7-3s 1.741e+01  [-134 1.815e-07 4.935e-08 1.818e-05]  [1572 -2 78]
 ST 8-1  1.840e+01  [0 1.000e+00 2.178e-01 9.965e-06]  [1379 0 45]
 ST 8-2  1.894e+01  [-40 9.401e-03 2.047e-03 9.987e-06]  [1185 -1 73]
 ST 8-3s 1.974e+01  [-140 9.389e-08 2.045e-08 4.434e-05]  [1961 -1 82]
 ST 9-1  2.100e+01  [0 1.000e+00 1.281e-01 9.951e-06]  [1800 -1 48]
 ST 9-2  2.144e+01  [-33 2.156e-02 2.762e-03 9.997e-06]  [895 -1 68]
 ST 9-3s 2.205e+01  [-133 2.155e-07 2.761e-08 3.276e-05]  [1403 -2 77]
 ST 10-1  2.312e+01  [0 1.000e+00 1.304e-01 9.964e-06]  [1559 -1 49]
 ST 10-2  2.364e+01  [-37 1.273e-02 1.660e-03 9.964e-06]  [1091 -1 71]
 ST 10-3s 2.430e+01  [-137 1.269e-07 1.654e-08 5.489e-05]  [1560 -1 78]
 ST 11-1  2.540e+01  [0 1.000e+00 8.587e-02 9.989e-06]  [1693 0 50]
 ST 11-2  2.588e+01  [-36 1.559e-02 1.339e-03 9.968e-06]  [963 -2 69]
 ST 11-3s 2.669e+01  [-136 1.554e-07 1.334e-08 6.784e-05]  [2014 -1 82]
 ST 12-1  2.778e+01  [0 1.000e+00 8.553e-02 9.987e-06]  [1575 -2 49]
 ST 12-2  2.827e+01  [-36 1.541e-02 1.318e-03 9.968e-06]  [1023 0 70]
 ST 12-3s 2.910e+01  [-136 1.536e-07 1.314e-08 6.903e-05]  [2056 0 82]
 ST 13-1  3.023e+01  [0 1.000e+00 6.194e-02 9.978e-06]  [1758 -1 52]
 ST 13-2  3.072e+01  [-39 1.025e-02 6.349e-04 9.978e-06]  [1035 0 70]
 ST 13-3s 3.125e+01  [-139 1.023e-07 6.335e-09 1.430e-04]  [1166 -3 72]
 ST 14-1  3.234e+01  [0 1.000e+00 7.324e-02 9.952e-06]  [1577 -2 48]
 ST 14-2  3.286e+01  [-40 9.592e-03 7.025e-04 9.989e-06]  [1116 -2 72]
 ST 14-3s 3.350e+01  [-140 9.582e-08 7.017e-09 1.293e-04]  [1487 -1 77]
 ST 15-1  3.464e+01  [0 1.000e+00 6.119e-02 9.962e-06]  [1793 0 53]
 ST 15-2  3.519e+01  [-41 8.275e-03 5.063e-04 9.958e-06]  [1197 -1 74]
 ST 15-3s 3.570e+01  [-141 8.240e-08 5.042e-09 1.796e-04]  [1063 -2 71]
 ST 16-1  3.677e+01  [0 1.000e+00 5.319e-02 9.997e-06]  [1659 -1 52]
 ST 16-2  3.739e+01  [-48 3.899e-03 2.074e-04 9.988e-06]  [1409 -1 77]
 ST 16-3s 3.783e+01  [-148 3.895e-08 2.072e-09 4.374e-04]  [891 -2 67]
 ST 17-1  3.891e+01  [0 1.000e+00 6.024e-02 9.984e-06]  [1806 -1 54]
 ST 17-2  3.946e+01  [-46 4.889e-03 2.945e-04 9.955e-06]  [1173 -2 73]
 ST 17-3s 4.030e+01  [-146 4.868e-08 2.932e-09 3.093e-04]  [2042 0 82]
 ST 18-1  4.145e+01  [0 1.000e+00 5.750e-02 9.997e-06]  [1668 -2 48]
 ST 18-2  4.204e+01  [-50 2.965e-03 1.705e-04 9.980e-06]  [1345 -1 76]
 ST 18-3s 4.249e+01  [-150 2.960e-08 1.702e-09 5.332e-04]  [880 -1 67]
 ST 19-1  4.438e+01  [0 1.000e+00 5.090e-02 9.979e-06]  [1608 -1 28]
 ST 19-2  4.504e+01  [-57 1.261e-03 6.419e-05 9.998e-06]  [1510 -1 78]
 ST 19-3s 4.551e+01  [-157 1.261e-08 6.419e-10 1.414e-03]  [976 -1 69]
 ST 20-1  4.657e+01  [0 1.000e+00 5.620e-02 9.992e-06]  [1656 -1 53]
 ST 20-2  4.717e+01  [-52 2.249e-03 1.264e-04 9.985e-06]  [1362 -2 76]
 ST 20-3s 4.770e+01  [-152 2.246e-08 1.262e-09 7.143e-04]  [1161 -2 72]
 ST 21-1  4.877e+01  [0 1.000e+00 5.626e-02 9.982e-06]  [1431 0 45]
 ST 21-2  4.948e+01  [-64 5.959e-04 3.353e-05 9.982e-06]  [1658 -1 79]
 ST 21-3s 4.979e+01  [-164 5.953e-09 3.349e-10 2.698e-03]  [475 -2 52]
 ST 22-1  5.088e+01  [0 1.000e+00 5.365e-02 9.976e-06]  [1734 -2 54]
 ST 22-2  5.158e+01  [-64 6.244e-04 3.350e-05 9.991e-06]  [1643 -1 79]
 ST 22-3s 5.215e+01  [-164 6.243e-09 3.349e-10 2.701e-03]  [1252 -1 74]
 ST 23-1  5.331e+01  [0 1.000e+00 5.494e-02 9.974e-06]  [1749 -1 51]
 ST 23-2  5.405e+01  [-64 6.053e-04 3.325e-05 9.972e-06]  [1776 -2 80]
 ST 23-3s 5.449e+01  [-164 6.040e-09 3.318e-10 2.728e-03]  [882 -1 66]
 ST 24-1  5.563e+01  [0 1.000e+00 5.672e-02 9.999e-06]  [1494 -1 43]
 ST 24-2  5.653e+01  [-83 7.054e-05 4.001e-06 9.978e-06]  [2115 -1 83]
 ST 24-3s 5.676e+01  [-182 7.340e-10 4.163e-11 2.113e-02]  [248 -6 35]
 ST 25-1  5.790e+01  [0 1.000e+00 5.613e-02 9.960e-06]  [1583 0 49]
 ST 25-2  5.853e+01  [-71 2.662e-04 1.494e-05 9.978e-06]  [1412 -1 76]
 ST 25-3s 5.907e+01  [-171 2.664e-09 1.495e-10 6.072e-03]  [1109 -2 72]
 ST 26-1  6.014e+01  [0 1.000e+00 5.620e-02 9.958e-06]  [1328 0 44]
 ST 26-2  6.087e+01  [-76 1.535e-04 8.627e-06 9.974e-06]  [1598 0 79]
 ST 26-3s 6.118e+01  [-176 1.546e-09 8.687e-11 1.042e-02]  [452 -4 50]
 ST 27-1  6.238e+01  [0 1.000e+00 5.832e-02 9.966e-06]  [1637 0 49]
 ST 27-2  6.331e+01  [-91 2.644e-05 1.542e-06 9.966e-06]  [2141 -2 84]
