gamma,n
0.068315,1.184631
0.065421,1.254622
0.080745,1.248603
0.070372,1.256332
0.070698,1.232015
0.078188,1.303208
0.078697,1.225367
0.089527,1.318542
0.081198,1.278566
0.072376,1.247215
0.076903,1.313128
0.079481,1.220482
0.075450,1.241660
0.068235,1.234781
0.084397,1.225768
0.077535,1.223797
0.077455,1.279628
0.077394,1.236030
0.084968,1.289444
0.072364,1.248441
0.068366,1.203299
0.077017,1.246473
0.082330,1.309978
0.085627,1.270917
0.064115,1.213052
0.086652,1.269742
0.065088,1.208698
0.090809,1.310360
0.088837,1.272910
0.080507,1.295076
0.074247,1.235413
0.083576,1.292387
0.086469,1.286985
0.068174,1.274937
0.085121,1.301961
0.087613,1.191068
0.083905,1.308580
0.066905,1.257985
0.071760,1.268074
0.087390,1.228343
0.083683,1.232268
0.081488,1.306802
0.077079,1.280979
0.077063,1.217378
0.086126,1.283563
0.087906,1.194833
0.078748,1.308382
0.065432,1.245835
0.072612,1.283511
0.063248,1.254946
0.068561,1.217894
0.079883,1.185503
