CaseNum,Radius,Height,Thickness,Elasticity,Sphericity
0,2.594,8.14,0.489,1103367.0,1.57
1,2.574,8.522,0.469,1248272.0,1.66
2,2.761,7.706,0.558,1084241.0,1.4
3,2.546,7.602,0.471,1195983.0,1.49
6,2.787,7.833,0.509,1128395.0,1.41
7,2.498,7.977,0.517,1279586.0,1.6
13,2.47,8.181,0.525,1070801.0,1.66
17,2.51,8.264,0.594,1273042.0,1.65
19,2.794,8.223,0.578,1164120.0,1.47
20,2.631,8.593,0.519,1160892.0,1.63
21,2.559,7.672,0.507,1297859.0,1.5
22,2.687,8.393,0.566,1035073.0,1.56
24,2.792,7.986,0.539,1109379.0,1.43
26,2.586,8.467,0.487,1178793.0,1.64
27,2.671,7.643,0.571,987058.0,1.43
28,2.646,7.755,0.533,1037275.0,1.47
29,2.577,8.457,0.537,1210133.0,1.64
30,2.712,8.239,0.55,1091050.0,1.52
31,2.507,8.125,0.563,1186559.0,1.62
32,2.701,8.638,0.529,1139538.0,1.6
33,2.636,8.562,0.502,1113309.0,1.62
35,2.525,8.519,0.531,1120128.0,1.69
36,2.632,7.876,0.553,1263337.0,1.5
37,2.504,7.813,0.556,1083211.0,1.56
39,2.478,7.627,0.435,1198207.0,1.54
40,2.708,8.051,0.597,1099016.0,1.49
41,2.538,7.589,0.447,1171615.0,1.5
43,2.657,7.622,0.598,1269777.0,1.43
45,2.57,7.886,0.585,1149359.0,1.53
46,2.714,8.101,0.56,1284115.0,1.49
47,2.776,8.43,0.543,1116266.0,1.52
48,2.583,8.649,0.58,1255971.0,1.67
50,2.689,7.659,0.576,1181615.0,1.42
51,2.528,8.071,0.467,1257727.0,1.6
54,2.783,7.866,0.587,1175496.0,1.41
55,2.49,8.316,0.589,921266.0,1.67
57,2.746,7.822,0.572,1220357.0,1.42
58,2.601,8.574,0.481,1224251.0,1.65
62,2.759,8.448,0.523,1229857.0,1.53
65,2.523,8.421,0.59,1011668.0,1.67
70,2.798,8.158,0.595,1027685.0,1.46
73,2.705,7.679,0.549,1232342.0,1.42
75,2.563,8.205,0.526,1215218.0,1.6
78,2.767,8.436,0.561,1062076.0,1.52
79,2.559,7.905,0.569,1219298.0,1.54
83,2.496,7.994,0.583,918936.0,1.6
84,2.535,7.921,0.522,1295268.0,1.56
86,2.488,8.622,0.462,1239890.0,1.73
90,2.666,7.794,0.499,1241074.0,1.46
92,2.641,8.408,0.459,1290460.0,1.59
94,2.627,8.339,0.495,1133371.0,1.59
99,2.615,8.49,0.567,970228.0,1.62
