CaseNum,Radius,Height,Thickness,Elasticity,Sphericity
0,2.477,7.691,0.473,1108542.0,1.55
1,2.486,7.704,0.486,1107723.0,1.55
2,2.515,7.593,0.472,1108759.0,1.51
3,2.512,7.742,0.481,1103489.0,1.54
4,2.495,7.844,0.47,1103757.0,1.57
5,2.545,7.665,0.482,1107629.0,1.51
6,2.47,7.725,0.497,1100575.0,1.56
7,2.49,7.647,0.477,1100228.0,1.54
8,2.475,7.759,0.489,1104094.0,1.57
9,2.493,7.839,0.475,1108205.0,1.57
10,2.55,7.6,0.474,1105312.0,1.49
11,2.514,7.766,0.484,1104428.0,1.54
12,2.508,7.585,0.494,1102426.0,1.51
13,2.529,7.611,0.492,1100970.0,1.5
14,2.533,7.625,0.499,1104901.0,1.51
15,2.5,7.786,0.48,1109738.0,1.56
16,2.507,7.828,0.479,1105970.0,1.56
17,2.535,7.808,0.494,1106549.0,1.54
18,2.525,7.661,0.497,1109527.0,1.52
19,2.48,7.676,0.49,1101322.0,1.55
20,2.542,7.63,0.498,1106805.0,1.5
21,2.52,7.699,0.476,1105543.0,1.53
22,2.541,7.778,0.487,1107197.0,1.53
23,2.483,7.822,0.485,1102797.0,1.58
24,2.498,7.801,0.492,1109114.0,1.56
25,2.504,7.644,0.496,1106298.0,1.53
26,2.487,7.712,0.48,1102162.0,1.55
27,2.522,7.571,0.484,1103237.0,1.5
28,2.537,7.749,0.489,1101981.0,1.53
29,2.529,7.729,0.478,1101526.0,1.53
