---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  7.430e-01  [0 1.000e+00 1.000e+00 9.985e-06]  [1782 -2 80]
 ST 1-2  1.152e+00  [-18 1.199e-01 1.199e-01 9.990e-06]  [781 -1 62]
 ST 1-3s 2.016e+00  [-116 1.485e-06 1.485e-06 9.953e-06]  [2216 -2 82]
 ST 2-1  3.087e+00  [0 1.000e+00 1.710e+00 9.966e-06]  [1423 -2 46]
 ST 2-2  3.482e+00  [-27 4.046e-02 6.917e-02 9.960e-06]  [719 0 61]
 ST 2-3s 4.512e+00  [-127 4.233e-07 7.238e-07 1.000e-05]  [2743 -2 85]
 ST 3-1  5.537e+00  [0 1.000e+00 1.206e+00 9.973e-06]  [1369 -2 43]
 ST 3-2  5.971e+00  [-35 1.750e-02 2.110e-02 9.976e-06]  [867 -2 64]
 ST 3-3s 6.975e+00  [-132 2.259e-07 2.723e-07 9.993e-06]  [2613 0 85]
 ST 4-1  8.079e+00  [0 1.000e+00 9.668e-01 9.978e-06]  [1560 -1 45]
 ST 4-2  8.527e+00  [-26 4.935e-02 4.772e-02 9.978e-06]  [945 -1 67]
 ST 4-3s 9.314e+00  [-125 5.589e-07 5.404e-07 9.994e-06]  [1716 -3 81]
 ST 5-1  1.067e+01  [0 1.000e+00 5.993e-01 9.975e-06]  [1559 -1 50]
 ST 5-2  1.124e+01  [-32 2.379e-02 1.426e-02 9.993e-06]  [871 0 67]
 ST 5-3s 1.262e+01  [-132 2.424e-07 1.452e-07 9.990e-06]  [2736 -1 86]
 ST 6-1  1.403e+01  [0 1.000e+00 4.017e-01 9.977e-06]  [1563 -1 52]
 ST 6-2  1.468e+01  [-27 4.033e-02 1.620e-02 9.994e-06]  [966 -2 69]
 ST 6-3s 1.610e+01  [-127 4.055e-07 1.629e-07 9.983e-06]  [2608 0 85]
 ST 7-1  1.761e+01  [0 1.000e+00 2.903e-01 9.995e-06]  [1816 -1 56]
 ST 7-2  1.809e+01  [-26 4.835e-02 1.403e-02 9.998e-06]  [553 -2 56]
 ST 7-3s 1.929e+01  [-126 4.843e-07 1.406e-07 9.972e-06]  [1991 0 83]
 ST 8-1  2.089e+01  [0 1.000e+00 4.045e-01 9.995e-06]  [1505 -1 50]
 ST 8-2  2.157e+01  [-35 1.612e-02 6.521e-03 9.954e-06]  [850 -1 66]
 ST 8-3s 2.295e+01  [-135 1.628e-07 6.586e-08 9.991e-06]  [2221 -2 84]
 ST 9-1  2.450e+01  [0 1.000e+00 1.440e-01 9.996e-06]  [1799 -1 54]
 ST 9-2  2.507e+01  [-25 5.522e-02 7.950e-03 9.985e-06]  [744 -1 63]
