---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  2.432e+00  [0 1.000e+00 1.000e+00 9.955e-06]  [1650 -1 94]
 ST 1-2  2.823e+00  [-29 3.391e-02 3.391e-02 9.965e-06]  [777 0 65]
 ST 1-3s 3.873e+00  [-125 5.229e-07 5.229e-07 9.974e-06]  [2850 -2 87]
 ST 2-1  5.015e+00  [0 1.000e+00 5.610e-01 9.968e-06]  [1573 -2 44]
 ST 2-2  5.422e+00  [-31 2.640e-02 1.481e-02 9.978e-06]  [846 -1 66]
 ST 2-3s 6.354e+00  [-129 3.501e-07 1.964e-07 9.986e-06]  [2438 -2 85]
 ST 3-1  7.472e+00  [0 1.000e+00 6.538e-01 9.968e-06]  [1427 -2 42]
 ST 3-2  8.002e+00  [-44 5.876e-03 3.842e-03 9.957e-06]  [1135 -1 70]
 ST 3-3s 8.953e+00  [-143 6.791e-08 4.440e-08 2.103e-05]  [2535 -2 85]
 ST 4-1  1.011e+01  [0 1.000e+00 4.307e-01 9.990e-06]  [1537 0 42]
 ST 4-2  1.058e+01  [-36 1.489e-02 6.412e-03 9.993e-06]  [1015 -2 69]
 ST 4-3s 1.154e+01  [-132 2.373e-07 1.022e-07 9.991e-06]  [2495 -2 86]
 ST 5-1  1.258e+01  [0 1.000e+00 4.442e-01 9.979e-06]  [1383 0 42]
 ST 5-2  1.309e+01  [-48 3.665e-03 1.628e-03 9.960e-06]  [1195 -1 73]
 ST 5-3s 1.409e+01  [-143 6.629e-08 2.945e-08 3.171e-05]  [2528 -1 84]
 ST 6-1  1.542e+01  [0 1.000e+00 5.129e-01 9.961e-06]  [1250 -1 29]
 ST 6-2  1.597e+01  [-49 3.199e-03 1.641e-03 9.953e-06]  [1252 -1 74]
 ST 6-3s 1.677e+01  [-146 4.728e-08 2.425e-08 3.849e-05]  [1989 -2 82]
 ST 7-1  1.790e+01  [0 1.000e+00 2.299e-01 9.979e-06]  [1586 0 46]
 ST 7-2  1.840e+01  [-48 3.680e-03 8.461e-04 9.974e-06]  [1112 -2 72]
 ST 7-3s 1.926e+01  [-145 5.576e-08 1.282e-08 7.270e-05]  [2279 -2 84]
 ST 8-1  2.029e+01  [0 1.000e+00 1.198e-01 9.959e-06]  [1357 -1 42]
 ST 8-2  2.087e+01  [-49 3.486e-03 4.176e-04 9.992e-06]  [1334 0 75]
 ST 8-3s 2.170e+01  [-145 5.215e-08 6.249e-09 1.492e-04]  [2178 -1 84]
 ST 9-1  2.294e+01  [0 1.000e+00 9.648e-02 9.984e-06]  [1690 0 44]
 ST 9-2  2.348e+01  [-47 4.271e-03 4.121e-04 9.993e-06]  [1226 0 74]
 ST 9-3s 2.421e+01  [-144 6.170e-08 5.953e-09 1.568e-04]  [1847 -1 81]
 ST 10-1  2.538e+01  [0 1.000e+00 6.960e-02 9.998e-06]  [1548 -1 43]
 ST 10-2  2.601e+01  [-53 2.174e-03 1.513e-04 9.973e-06]  [1516 -2 77]
 ST 10-3s 2.668e+01  [-146 4.963e-08 3.454e-09 2.700e-04]  [1655 -1 79]
 ST 11-1  2.788e+01  [0 1.000e+00 6.621e-02 9.961e-06]  [1598 -1 44]
 ST 11-2  2.846e+01  [-53 2.137e-03 1.415e-04 9.997e-06]  [1354 -1 76]
 ST 11-3s 2.920e+01  [-148 3.908e-08 2.588e-09 3.604e-04]  [1840 0 81]
 ST 12-1  3.032e+01  [0 1.000e+00 6.307e-02 9.987e-06]  [1566 -2 45]
 ST 12-2  3.097e+01  [-55 1.665e-03 1.050e-04 9.993e-06]  [1567 -1 78]
 ST 12-3s 3.156e+01  [-148 3.800e-08 2.397e-09 3.887e-04]  [1433 0 76]
 ST 13-1  3.446e+01  [0 1.000e+00 3.542e-02 9.970e-06]  [1508 -1 16]
 ST 13-2  3.515e+01  [-59 1.085e-03 3.844e-05 9.963e-06]  [1676 -2 79]
 ST 13-3s 3.575e+01  [-149 3.409e-08 1.208e-09 7.721e-04]  [1333 0 71]
 ST 14-1  3.699e+01  [0 1.000e+00 3.115e-02 9.986e-06]  [1616 -2 42]
 ST 14-2  3.765e+01  [-58 1.256e-03 3.913e-05 1.000e-05]  [1554 -1 78]
 ST 14-3s 3.822e+01  [-148 3.848e-08 1.199e-09 7.792e-04]  [1296 -1 74]
 ST 15-1  3.944e+01  [0 1.000e+00 2.848e-02 9.992e-06]  [1750 -1 45]
 ST 15-2  4.018e+01  [-63 6.800e-04 1.937e-05 9.996e-06]  [1790 0 81]
 ST 15-3s 4.074e+01  [-151 2.564e-08 7.302e-10 1.280e-03]  [1264 -2 73]
 ST 16-1  4.206e+01  [0 1.000e+00 3.458e-02 9.970e-06]  [1650 -1 40]
 ST 16-2  4.289e+01  [-69 3.266e-04 1.129e-05 9.981e-06]  [2095 0 83]
 ST 16-3s 4.342e+01  [-154 1.928e-08 6.666e-10 1.400e-03]  [1201 -1 73]
 ST 17-1  4.464e+01  [0 1.000e+00 2.535e-02 9.989e-06]  [1725 -2 45]
 ST 17-2  4.547e+01  [-71 2.816e-04 7.137e-06 9.983e-06]  [2037 -2 83]
 ST 17-3s 4.598e+01  [-153 2.102e-08 5.329e-10 1.749e-03]  [1122 -2 73]
 ST 18-1  4.713e+01  [0 1.000e+00 2.293e-02 9.963e-06]  [1698 -1 48]
 ST 18-2  4.799e+01  [-75 1.647e-04 3.777e-06 9.978e-06]  [2230 -1 84]
 ST 18-3s 4.846e+01  [-156 1.557e-08 3.570e-10 2.613e-03]  [975 0 69]
 ST 19-1  4.963e+01  [0 1.000e+00 2.713e-02 9.971e-06]  [1511 -1 40]
 ST 19-2  5.039e+01  [-78 1.178e-04 3.197e-06 9.970e-06]  [1953 -1 81]
 ST 19-3s 5.083e+01  [-157 1.376e-08 3.735e-10 2.499e-03]  [914 -2 68]
 ST 20-1  5.200e+01  [0 1.000e+00 2.552e-02 9.989e-06]  [1535 0 42]
 ST 20-2  5.272e+01  [-81 8.476e-05 2.163e-06 9.961e-06]  [1836 -2 81]
